turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move2,move1,capture,-1,None,-1,-1,-1,-1
1,1,0,0,move1,move1,capture,0,move1,1-0,2-1,-1,-1
2,0,0,0,move1,mobilize,capture,1,mobilize,2-4,2-3,-1,-1
3,1,3,0,move1,mobilize,mobilize,2,mobilize,2-1,2-3,2-0,-1
4,0,3,0,move1,swap,mobilize,1,swap,1-4,1-3,3-4,3-3
5,1,3,0,move1,move2,mobilize,1,move2,3-0,3-3,-1,-1
6,0,3,0,move1,move2,move1,2,move1,2-4,2-3,3-0,3-1
7,1,4,0,move1,move2,move1,1,move2,3-3,2-2,-1,-1
8,0,4,0,move1,swap,move1,1,swap,3-1,3-3,-1,-1
9,1,5,0,move1,move2,move1,1,move2,2-0,2-3,-1,-1
10,0,5,0,move1,move1,move1,1,move1,2-0,1-1,-1,-1
11,1,6,0,swap,move1,move1,0,swap,2-1,3-1,-1,-1
12,0,6,1,move2,move1,move1,0,move2,1-1,2-2,-1,-1
13,1,6,1,move1,move1,move1,0,move1,3-1,2-1,-1,-1
14,0,6,2,mobilize,move1,move1,0,mobilize,3-3,3-2,-1,-1
15,1,6,2,mobilize,capture,move1,1,capture,1-1,1-2,-1,-1
16,0,6,6,mobilize,mobilize,move1,1,mobilize,2-2,2-1,-1,-1
17,1,6,6,mobilize,mobilize,move1,2,move1,1-0,1-1,-1,-1
18,0,6,7,mobilize,mobilize,move1,2,move1,3-2,3-3,-1,-1
19,1,6,7,mobilize,mobilize,mobilize,2,mobilize,1-1,2-1,-1,-1
20,0,6,8,capture,mobilize,mobilize,0,capture,1-3,0-3,3-3,3-2
21,1,9,8,move2,mobilize,mobilize,0,move2,2-1,2-2,-1,-1
22,0,9,9,move2,swap,mobilize,1,swap,0-3,1-3,3-2,2-2
23,1,9,9,move2,capture,mobilize,1,capture,2-1,1-3,-1,-1
24,0,9,13,move2,move1,mobilize,1,move1,1-4,1-3,-1,-1
25,1,9,13,move2,move1,capture,2,capture,1-0,1-1,2-3,1-3
26,0,9,17,move2,move1,capture,2,capture,2-1,1-1,-1,-1
27,1,12,17,move2,move1,mobilize,2,mobilize,1-3,1-4,-1,-1
28,0,12,18,swap,move1,mobilize,0,swap,1-4,2-3,-1,-1
29,1,12,18,capture,move1,mobilize,0,capture,1-0,2-1,-1,-1
30,0,12,22,mobilize,move1,mobilize,0,mobilize,2-2,1-2,-1,-1
31,1,12,22,move1,move1,mobilize,0,move1,2-1,1-1,1-3,1-2
32,0,12,23,move1,move1,mobilize,1,move1,1-0,0-0,-1,-1
33,1,12,23,swap,move1,mobilize,0,swap,2-0,1-0,-1,-1
34,0,12,24,move2,move1,mobilize,0,move2,0-0,1-0,-1,-1
35,1,12,24,move2,move1,mobilize,0,move2,0-0,0-2,-1,-1
36,0,12,25,mobilize,move1,mobilize,0,mobilize,1-0,2-1,-1,-1
37,1,12,25,mobilize,swap,mobilize,1,swap,0-2,0-1,-1,-1
38,0,12,26,mobilize,move1,mobilize,1,move1,2-3,1-2,-1,-1
39,1,12,26,mobilize,mobilize,mobilize,1,mobilize,2-3,1-3,-1,-1
40,0,12,27,capture,mobilize,mobilize,0,capture,2-1,3-1,1-2,0-2
41,1,15,27,swap,mobilize,mobilize,0,swap,0-1,0-2,-1,-1
42,0,15,28,move1,mobilize,mobilize,0,move1,1-4,1-1,-1,-1
43,1,15,28,move1,move1,mobilize,1,move1,1-3,1-2,0-1,0-2
44,0,15,29,mobilize,move1,mobilize,0,mobilize,1-1,2-1,-1,-1
45,1,15,29,mobilize,capture,mobilize,1,capture,1-4,1-3,-1,-1
46,0,15,33,mobilize,move1,mobilize,1,move1,2-2,1-2,-1,-1
47,1,15,33,move2,move1,mobilize,0,move2,1-3,1-2,1-0,1-1
48,0,15,34,move2,capture,mobilize,1,capture,3-1,3-2,-1,-1
49,1,18,34,move2,move2,mobilize,1,move2,1-1,2-1,-1,-1
50,0,18,35,move1,move2,mobilize,0,move1,1-4,2-3,-1,-1
51,1,18,35,move1,move2,mobilize,1,move2,0-2,1-3,-1,-1
52,0,18,36,move1,move2,mobilize,0,move1,2-3,3-3,-1,-1
53,1,18,36,move1,move1,mobilize,1,move1,1-1,0-2,-1,-1
54,0,18,37,move1,move1,mobilize,0,move1,3-3,2-3,-1,-1
55,1,18,37,swap,move1,mobilize,0,swap,0-2,0-3,-1,-1
56,0,18,38,move2,move1,mobilize,0,move2,3-2,1-3,-1,-1
57,1,18,38,move2,move2,mobilize,1,move2,0-3,0-2,-1,-1
58,0,18,39,capture,move2,mobilize,0,capture,1-3,2-4,-1,-1
59,1,21,39,swap,move2,mobilize,0,swap,1-2,2-2,-1,-1
60,0,21,39,swap,move2,mobilize,1,move2,2-3,1-3,-1,-1
61,1,21,39,swap,move2,mobilize,0,swap,3-2,1-3,-1,-1
62,0,21,39,move2,move2,mobilize,0,move2,3-2,1-3,-1,-1
63,1,22,39,move1,move2,mobilize,0,move1,3-2,2-2,-1,-1
64,0,22,39,move1,move2,mobilize,0,move1,2-4,2-3,-1,-1
65,1,23,39,move1,move1,mobilize,1,move1,0-2,1-1,-1,-1
66,0,23,39,capture,move1,mobilize,0,capture,2-3,2-4,-1,-1
67,1,27,39,capture,move1,mobilize,0,capture,1-2,1-3,-1,-1
68,0,27,39,capture,mobilize,mobilize,1,mobilize,3-4,3-3,-1,-1
69,1,31,39,swap,mobilize,mobilize,0,swap,1-2,1-4,1-1,-1
70,0,31,40,capture,mobilize,mobilize,0,capture,1-4,2-2,-1,-1
71,1,34,40,move2,mobilize,mobilize,0,move2,1-4,2-4,-1,-1
72,0,34,41,move2,mobilize,mobilize,1,mobilize,2-4,2-3,3-3,3-2
73,1,34,41,mobilize,mobilize,mobilize,0,mobilize,1-4,1-3,-1,-1
74,0,34,42,move1,mobilize,mobilize,0,move1,2-3,3-3,3-2,3-1
75,1,34,42,move1,mobilize,mobilize,1,mobilize,1-1,2-1,1-3,2-3
76,0,34,43,move1,mobilize,mobilize,0,move1,3-3,3-2,-1,-1
77,1,34,43,capture,mobilize,mobilize,0,capture,1-2,1-1,-1,-1
78,0,34,47,mobilize,mobilize,mobilize,0,mobilize,3-1,2-1,-1,-1
79,1,34,47,move1,mobilize,mobilize,0,move1,1-1,2-1,1-0,2-0
80,0,34,48,move2,mobilize,mobilize,0,move2,3-2,3-3,-1,-1
