turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move2,move1,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,swap,move1,mobilize,0,swap,1-0,2-1,-1,-1
2,0,0,0,swap,mobilize,mobilize,1,mobilize,2-4,2-3,-1,-1
3,1,0,0,move1,mobilize,mobilize,0,move1,2-0,2-3,-1,-1
4,0,0,0,move1,move1,mobilize,1,move1,1-4,2-4,2-0,1-0
5,1,1,0,move1,move1,swap,2,swap,2-3,2-2,3-0,2-0
6,0,1,0,move1,move1,capture,2,capture,1-0,2-1,-1,-1
7,1,5,0,move1,move1,swap,2,swap,2-2,2-1,-1,-1
8,0,5,1,move1,move1,move1,2,move1,3-4,2-2,-1,-1
9,1,5,1,move2,move1,move1,0,move2,3-4,3-3,-1,-1
10,0,5,2,move1,move1,move1,0,move1,1-4,2-3,-1,-1
11,1,5,2,capture,move1,move1,0,capture,2-0,3-0,-1,-1
12,0,5,6,move1,move1,move1,0,move1,2-3,3-3,-1,-1
13,1,5,6,capture,move1,move1,0,capture,2-0,2-1,-1,-1
14,0,5,10,mobilize,move1,move1,0,mobilize,2-2,2-1,-1,-1
15,1,5,10,mobilize,capture,move1,1,capture,2-0,2-1,-1,-1
16,0,5,14,mobilize,move2,move1,1,move2,2-2,2-1,-1,-1
17,1,5,14,mobilize,capture,move1,1,capture,1-0,2-1,-1,-1
18,0,5,18,mobilize,move1,move1,1,move1,2-2,2-1,-1,-1
19,1,5,18,mobilize,move1,move1,0,mobilize,1-0,1-1,3-0,3-1
20,0,5,19,mobilize,move1,move1,1,move1,2-4,1-4,-1,-1
21,1,5,19,move2,move1,move1,0,move2,2-0,1-0,3-1,2-1
22,0,5,20,move2,move2,move1,1,move2,1-4,2-4,-1,-1
23,1,5,20,swap,move2,move1,0,swap,1-0,2-0,-1,-1
24,0,5,21,mobilize,move2,move1,0,mobilize,2-4,2-1,-1,-1
25,1,5,21,move2,move2,move1,0,move2,2-0,1-0,2-4,1-4
26,0,5,22,move1,move2,move1,0,move1,2-1,3-2,-1,-1
27,1,5,22,move1,mobilize,move1,1,mobilize,1-4,1-2,-1,-1
28,0,5,23,capture,mobilize,move1,0,capture,3-2,3-3,-1,-1
29,1,8,23,swap,mobilize,move1,0,swap,1-2,2-2,-1,-1
30,0,8,23,swap,mobilize,move1,2,move1,1-4,2-4,-1,-1
31,1,8,23,move2,mobilize,move1,0,move2,1-1,2-3,-1,-1
