turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,move2,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,1,capture,1-0,2-1,-1,-1
2,0,0,0,capture,capture,mobilize,0,capture,1-4,1-3,3-4,3-3
3,1,3,0,move2,capture,mobilize,0,move2,2-1,2-4,2-0,-1
4,0,3,0,move2,capture,swap,2,swap,1-3,2-3,1-4,2-4
5,1,6,0,move2,swap,swap,1,swap,2-1,2-3,2-0,-1
6,0,6,0,move2,swap,swap,1,swap,3-3,2-1,-1,-1
7,1,6,0,move1,swap,swap,0,move1,3-3,3-1,-1,-1
8,0,6,1,move2,swap,swap,0,move2,2-1,2-2,-1,-1
9,1,6,1,mobilize,swap,swap,0,mobilize,3-1,2-1,-1,-1
10,0,6,2,mobilize,mobilize,swap,1,mobilize,2-4,2-1,-1,-1
11,1,6,2,mobilize,mobilize,move2,2,move2,2-4,2-1,-1,-1
12,0,6,3,capture,mobilize,move2,0,capture,1-4,1-3,2-4,2-3
13,1,9,3,move1,mobilize,move2,0,move1,2-1,2-2,-1,-1
14,0,9,3,move2,mobilize,move2,0,move2,1-4,2-4,-1,-1
15,1,9,3,swap,mobilize,move2,0,swap,3-0,3-1,-1,-1
16,0,9,4,swap,mobilize,move1,2,move1,1-3,2-2,-1,-1
17,1,9,4,move2,mobilize,move1,0,move2,3-1,2-3,-1,-1
18,0,9,5,move2,mobilize,capture,2,capture,3-1,3-2,-1,-1
19,1,12,5,move2,mobilize,move1,2,move1,2-3,2-4,-1,-1
20,0,12,6,move1,mobilize,move1,0,move1,1-4,1-2,-1,-1
21,1,12,6,mobilize,mobilize,move1,0,mobilize,2-0,1-0,-1,-1
22,0,12,7,mobilize,mobilize,capture,2,capture,1-2,1-1,-1,-1
23,1,15,7,mobilize,mobilize,move1,2,move1,2-1,1-1,-1,-1
24,0,15,8,mobilize,mobilize,move1,2,move1,1-4,1-3,-1,-1
25,1,15,8,mobilize,mobilize,move1,2,move1,1-0,2-0,-1,-1
26,0,15,9,mobilize,mobilize,move2,2,move2,1-3,1-2,-1,-1
27,1,15,9,mobilize,mobilize,mobilize,2,mobilize,2-0,1-1,-1,-1
28,0,15,10,move1,mobilize,mobilize,0,move1,3-2,3-3,1-2,1-3
29,1,15,10,move1,mobilize,mobilize,0,move1,1-1,1-2,-1,-1
30,0,15,11,move1,mobilize,mobilize,0,move1,3-3,3-2,-1,-1
31,1,15,11,move2,mobilize,mobilize,0,move2,1-2,1-1,-1,-1
32,0,15,12,move1,mobilize,mobilize,0,move1,1-3,1-2,-1,-1
33,1,15,12,move1,mobilize,mobilize,0,move1,2-3,1-3,-1,-1
34,0,15,12,swap,mobilize,mobilize,0,swap,2-2,2-3,-1,-1
35,1,15,12,move2,mobilize,mobilize,0,move2,1-1,1-2,-1,-1
36,0,15,13,capture,mobilize,mobilize,0,capture,2-3,2-2,-1,-1
37,1,18,13,move1,mobilize,mobilize,0,move1,2-1,1-1,-1,-1
38,0,18,14,capture,mobilize,mobilize,0,capture,1-4,2-4,-1,-1
39,1,21,14,move2,mobilize,mobilize,0,move2,2-1,2-2,-1,-1
