turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,swap,move2,capture,-1,None,-1,-1,-1,-1
1,1,0,0,swap,swap,capture,1,swap,1-0,2-1,-1,-1
2,0,0,0,capture,swap,capture,0,capture,2-4,2-1,-1,-1
3,1,3,0,move1,swap,capture,0,move1,2-4,1-4,-1,-1
4,0,3,3,move1,swap,move2,2,move2,2-1,2-0,-1,-1
5,1,4,3,move1,swap,move1,2,move1,2-4,2-2,-1,-1
6,0,4,3,move2,swap,move1,0,move2,1-4,2-4,-1,-1
7,1,5,3,move2,swap,move1,1,swap,1-0,2-1,-1,-1
8,0,5,3,move2,move2,move1,1,move2,1-0,2-1,-1,-1
9,1,6,3,move2,move2,move2,2,move2,1-0,2-0,-1,-1
10,0,6,3,mobilize,move2,move2,0,mobilize,3-4,2-3,-1,-1
11,1,7,3,mobilize,mobilize,move2,1,mobilize,3-0,3-1,-1,-1
12,0,7,3,mobilize,mobilize,move1,2,move1,2-1,1-2,-1,-1
13,1,8,3,mobilize,mobilize,mobilize,2,mobilize,3-1,2-1,-1,-1
14,0,8,3,move1,mobilize,mobilize,0,move1,2-4,1-4,2-3,1-3
15,1,9,3,move2,mobilize,mobilize,0,move2,2-1,3-1,-1,-1
16,0,9,3,move2,mobilize,mobilize,1,mobilize,1-4,2-4,1-3,2-3
17,1,10,3,move2,swap,mobilize,1,swap,2-0,2-1,3-1,3-2
18,0,10,4,move2,move1,mobilize,1,move1,2-4,2-2,-1,-1
19,1,10,4,move2,move1,move1,2,move1,2-4,3-4,2-1,3-1
20,0,10,5,move2,capture,move1,1,capture,2-3,1-3,-1,-1
21,1,13,5,move2,capture,move1,1,capture,3-2,2-2,-1,-1
22,0,13,5,mobilize,capture,move1,0,mobilize,1-4,2-3,-1,-1
23,1,13,5,mobilize,capture,move1,2,move1,3-4,3-3,-1,-1
24,0,13,8,mobilize,capture,move1,1,capture,2-3,3-3,-1,-1
25,1,13,8,mobilize,capture,move1,2,move1,1-0,2-0,-1,-1
26,0,13,9,mobilize,capture,capture,2,capture,2-3,2-2,-1,-1
27,1,16,9,mobilize,capture,capture,1,capture,3-2,2-2,-1,-1
28,0,16,10,mobilize,capture,capture,0,mobilize,1-2,2-2,1-3,2-3
