turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,2-0,3-1,-1,-1
2,0,0,0,capture,swap,capture,2,capture,2-6,1-6,-1,-1
3,1,0,0,capture,swap,capture,-1,None,-1,-1,-1,-1
4,0,0,0,move1,move1,swap,-1,None,-1,-1,-1,-1
5,1,0,0,capture,move1,swap,0,capture,4-0,4-1,-1,-1
6,0,0,0,capture,move2,swap,1,move2,1-6,1-5,-1,-1
7,1,3,0,capture,move2,swap,1,move2,3-1,3-3,-1,-1
8,0,3,0,capture,mobilize,swap,1,mobilize,1-5,3-5,-1,-1
9,1,6,0,capture,mobilize,swap,1,mobilize,3-0,3-1,4-1,4-2
10,0,6,3,capture,mobilize,move1,2,move1,3-5,3-3,-1,-1
11,1,9,3,move1,mobilize,move1,0,move1,3-5,3-6,-1,-1
12,0,9,6,capture,mobilize,move1,0,capture,4-6,3-6,-1,-1
13,1,12,6,move1,mobilize,move1,0,move1,3-5,3-6,-1,-1
