turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,move2,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,1,capture,1-0,2-1,-1,-1
2,0,0,0,capture,capture,mobilize,0,capture,1-4,1-3,3-4,3-3
3,1,3,0,move2,capture,mobilize,0,move2,2-1,2-4,2-0,-1
4,0,3,0,move2,capture,swap,2,swap,1-3,2-3,1-4,2-4
5,1,6,0,move2,swap,swap,1,swap,2-1,2-3,2-0,-1
6,0,6,0,move2,swap,swap,1,swap,3-3,2-1,-1,-1
7,1,6,0,move2,move1,swap,1,move1,3-3,2-1,-1,-1
8,0,6,0,move2,move1,swap,0,move2,1-4,2-3,-1,-1
9,1,6,0,move2,mobilize,swap,1,mobilize,3-0,3-1,-1,-1
10,0,6,1,mobilize,mobilize,swap,0,mobilize,3-3,2-2,-1,-1
11,1,7,1,mobilize,mobilize,move2,2,move2,3-1,2-2,-1,-1
12,0,7,1,mobilize,mobilize,capture,2,capture,3-1,3-3,-1,-1
13,1,11,1,mobilize,mobilize,move1,2,move1,2-2,2-3,-1,-1
14,0,11,1,move2,mobilize,move1,0,move2,1-4,1-3,3-3,2-3
15,1,12,1,swap,mobilize,move1,0,swap,2-0,1-1,-1,-1
16,0,12,2,move1,mobilize,move1,0,move1,2-4,2-2,-1,-1
17,1,12,2,move2,mobilize,move1,0,move2,2-4,3-4,-1,-1
18,0,12,3,move2,mobilize,capture,2,capture,1-3,1-2,-1,-1
19,1,15,3,move2,mobilize,move1,2,move1,2-1,2-2,-1,-1
20,0,15,4,move2,move1,move1,1,move1,1-2,2-2,1-4,2-4
21,1,15,4,mobilize,move1,move1,0,mobilize,3-4,3-2,-1,-1
22,0,15,5,mobilize,capture,move1,1,capture,2-4,1-4,-1,-1
23,1,18,5,mobilize,move1,move1,1,move1,2-1,2-2,-1,-1
24,0,18,5,mobilize,move1,move1,1,move1,1-4,1-3,-1,-1
25,1,19,5,mobilize,move1,move1,1,move1,3-2,2-2,-1,-1
26,0,19,5,mobilize,swap,move1,1,swap,1-3,1-4,-1,-1
27,1,20,5,mobilize,move2,move1,1,move2,1-1,2-3,-1,-1
28,0,20,5,mobilize,move1,move1,1,move1,1-1,1-3,-1,-1
29,1,21,5,mobilize,move1,move1,1,move1,2-3,3-3,-1,-1
30,0,21,5,mobilize,move2,move1,1,move2,2-4,2-3,-1,-1
31,1,22,5,mobilize,move2,move2,2,move2,3-3,3-2,-1,-1
32,0,22,5,mobilize,move1,move2,1,move1,1-4,2-4,-1,-1
33,1,23,5,mobilize,mobilize,move2,1,mobilize,3-2,3-1,-1,-1
34,0,23,5,mobilize,mobilize,move2,2,move2,2-4,3-3,-1,-1
35,1,24,5,mobilize,mobilize,move2,2,move2,3-1,2-0,-1,-1
36,0,24,5,mobilize,mobilize,capture,2,capture,3-3,2-4,-1,-1
37,1,28,5,mobilize,mobilize,move1,2,move1,2-2,2-3,-1,-1
38,0,28,5,mobilize,mobilize,capture,2,capture,2-4,2-3,-1,-1
39,1,32,5,mobilize,mobilize,swap,2,swap,2-2,2-3,-1,-1
40,0,32,6,mobilize,mobilize,capture,2,capture,1-4,2-2,-1,-1
