turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,2-0,2-2,-1,-1
2,0,0,0,move1,move1,mobilize,1,move1,2-4,2-3,4-4,4-3
3,1,2,0,move1,move1,move1,2,move1,2-2,1-2,4-0,4-1
4,0,2,0,move1,move1,move1,0,move1,4-3,3-3,-1,-1
5,1,4,0,capture,move1,move1,0,capture,3-0,4-0,-1,-1
6,0,4,0,capture,capture,move1,1,capture,3-4,2-4,-1,-1
7,1,6,0,capture,capture,mobilize,2,mobilize,4-0,5-0,-1,-1
8,0,6,0,capture,capture,capture,2,capture,2-3,1-3,2-4,1-4
9,1,11,0,swap,capture,capture,0,swap,1-2,1-3,-1,-1
10,0,11,2,move1,capture,capture,0,move1,3-3,1-2,-1,-1
11,1,11,2,move1,capture,capture,0,move1,5-0,5-1,-1,-1
12,0,11,4,capture,capture,capture,0,capture,2-4,2-3,-1,-1
13,1,14,4,move1,capture,capture,0,move1,3-3,2-3,-1,-1
14,0,14,6,move2,capture,capture,0,move2,2-4,2-3,-1,-1
15,1,17,6,move2,capture,capture,1,capture,3-3,2-3,-1,-1
16,0,17,8,move2,capture,capture,0,move2,2-4,1-3,-1,-1
