turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,swap,capture,mobilize,0,swap,1-0,1-1,3-0,2-0
2,0,0,0,move1,capture,mobilize,0,move1,1-4,1-1,-1,-1
3,1,3,0,move1,mobilize,mobilize,1,mobilize,1-4,0-4,-1,-1
4,0,3,0,move2,mobilize,mobilize,0,move2,1-1,1-2,-1,-1
5,1,3,0,move2,capture,mobilize,1,capture,0-0,1-0,4-0,3-0
6,0,3,3,move2,move2,mobilize,1,move2,0-4,1-4,-1,-1
7,1,3,3,capture,move2,mobilize,0,capture,0-0,1-1,-1,-1
8,0,3,6,move1,move2,mobilize,0,move1,1-2,1-1,-1,-1
9,1,3,6,move1,move1,mobilize,1,move1,0-0,1-1,-1,-1
10,0,3,7,move1,move1,move2,2,move2,1-2,2-2,3-4,2-4
11,1,3,7,move1,move1,move1,2,move1,3-0,2-1,-1,-1
12,0,3,8,capture,move1,move1,0,capture,4-4,3-4,-1,-1
13,1,6,8,capture,move1,move1,0,capture,2-1,2-2,-1,-1
14,0,6,8,capture,move2,move1,1,move2,2-4,2-3,-1,-1
15,1,9,8,move2,move2,move1,0,move2,2-1,2-3,2-0,-1
16,0,9,8,swap,move2,move1,0,swap,1-4,1-2,-1,-1
17,1,10,8,swap,swap,move1,1,swap,2-1,2-2,-1,-1
18,0,10,9,move1,swap,move1,0,move1,3-4,2-2,-1,-1
19,1,10,9,move1,move1,move1,1,move1,1-0,1-2,-1,-1
20,0,10,10,move1,move1,move1,0,move1,1-0,0-0,-1,-1
21,1,10,10,move2,move1,move1,0,move2,2-0,2-1,-1,-1
22,0,10,11,mobilize,move1,move1,0,mobilize,0-4,0-2,-1,-1
23,1,10,11,mobilize,move1,move1,1,move1,3-4,3-3,-1,-1
