turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,2-0,1-0,4-0,5-0
2,0,0,0,move1,capture,move1,2,move1,2-6,1-6,4-6,4-5
3,1,0,0,move1,capture,swap,2,swap,5-0,6-0,-1,-1
4,0,0,0,move1,capture,swap,0,move1,3-6,2-6,-1,-1
5,1,0,0,move1,capture,swap,0,move1,1-0,2-0,-1,-1
6,0,0,0,mobilize,capture,swap,0,mobilize,4-5,4-6,-1,-1
7,1,0,0,mobilize,capture,swap,0,mobilize,3-0,4-0,6-0,5-0
8,0,0,0,capture,capture,swap,0,capture,2-6,2-5,4-6,5-6
9,1,0,0,capture,capture,swap,-1,None,-1,-1,-1,-1
10,0,0,0,capture,move2,mobilize,-1,None,-1,-1,-1,-1
11,1,0,0,capture,move2,mobilize,1,move2,2-0,2-1,-1,-1
12,0,0,0,capture,move2,move2,2,move2,2-5,2-6,5-6,5-5
13,1,0,0,capture,capture,move2,1,capture,2-1,3-0,-1,-1
14,0,0,0,capture,capture,swap,2,swap,5-5,3-5,-1,-1
15,1,0,0,capture,capture,swap,-1,None,-1,-1,-1,-1
16,0,0,0,move1,move2,move2,-1,None,-1,-1,-1,-1
17,1,0,0,move1,move2,capture,2,capture,3-0,3-2,-1,-1
18,0,0,0,move1,move1,capture,1,move1,2-6,1-5,-1,-1
19,1,3,0,move1,move2,capture,1,move2,3-2,3-3,-1,-1
20,0,3,0,swap,move2,capture,0,swap,1-6,0-6,-1,-1
21,1,6,0,swap,move1,capture,1,move1,4-0,3-1,-1,-1
22,0,6,0,swap,move1,capture,1,move1,3-5,3-4,-1,-1
23,1,12,0,swap,move1,swap,2,swap,3-3,3-4,-1,-1
