turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,1-0,0-0,2-0,2-1
2,0,0,0,move1,capture,move1,2,move1,1-4,1-3,3-4,3-3
3,1,1,0,move1,capture,swap,2,swap,2-1,2-2,-1,-1
4,0,1,0,move1,capture,swap,0,move1,3-3,2-3,-1,-1
5,1,5,0,move1,move1,swap,1,move1,2-2,2-3,-1,-1
6,0,5,0,mobilize,move1,swap,0,mobilize,1-3,2-3,-1,-1
7,1,6,0,mobilize,mobilize,swap,1,mobilize,0-0,1-0,-1,-1
8,0,6,0,capture,mobilize,swap,0,capture,2-3,3-3,1-4,1-3
9,1,7,0,capture,mobilize,capture,2,capture,1-0,1-3,-1,-1
10,0,7,0,capture,move2,capture,1,move2,3-3,2-3,1-0,1-1
11,1,11,0,mobilize,move2,capture,0,mobilize,1-3,2-3,-1,-1
12,0,11,3,mobilize,move2,move2,2,move2,1-4,1-3,-1,-1
13,1,12,3,mobilize,move2,move2,1,move2,1-0,2-1,-1,-1
14,0,12,3,mobilize,capture,move2,1,capture,2-4,1-3,-1,-1
15,1,16,3,mobilize,swap,move2,1,swap,2-1,1-1,-1,-1
16,0,16,3,mobilize,move1,move2,1,move1,2-4,2-1,-1,-1
17,1,17,3,mobilize,move2,move2,1,move2,2-4,3-4,-1,-1
18,0,17,3,mobilize,move2,move2,1,move2,2-1,1-2,-1,-1
19,1,18,3,capture,move2,move2,0,capture,3-4,3-3,3-0,3-1
20,0,18,6,move1,move2,move2,0,move1,1-2,2-2,-1,-1
21,1,19,6,move1,move2,move2,2,move2,3-3,2-2,-1,-1
22,0,19,6,move1,swap,move2,1,swap,1-4,2-3,-1,-1
23,1,20,6,move1,swap,move2,0,move1,1-0,1-1,-1,-1
24,0,20,6,move1,move1,move2,1,move1,1-3,1-1,-1,-1
25,1,21,6,swap,move1,move2,0,swap,3-1,3-2,-1,-1
26,0,21,7,move1,move1,move2,0,move1,1-1,2-2,-1,-1
27,1,21,7,move1,move1,mobilize,2,mobilize,3-2,4-2,-1,-1
28,0,21,8,mobilize,move1,mobilize,0,mobilize,2-3,3-3,-1,-1
29,1,21,8,mobilize,move2,mobilize,1,move2,1-3,2-3,-1,-1
30,0,21,9,mobilize,capture,mobilize,1,capture,3-3,3-2,-1,-1
31,1,24,9,mobilize,move1,mobilize,1,move1,4-2,3-2,-1,-1
32,0,24,10,mobilize,move1,mobilize,1,move1,1-4,1-3,-1,-1
33,1,24,10,mobilize,move1,move1,2,move1,1-1,1-0,4-2,3-2
34,0,24,11,mobilize,swap,move1,1,swap,1-2,1-1,-1,-1
35,1,25,11,mobilize,capture,move1,1,capture,2-3,2-2,-1,-1
36,0,25,14,mobilize,capture,move1,1,capture,2-3,2-2,-1,-1
37,1,28,14,mobilize,swap,move1,1,swap,1-0,1-1,-1,-1
38,0,28,14,mobilize,swap,swap,2,swap,1-4,2-4,-1,-1
39,1,28,14,move1,swap,swap,0,move1,2-0,2-1,3-2,4-2
40,0,28,14,swap,swap,swap,0,swap,2-4,1-4,-1,-1
41,1,28,14,swap,swap,capture,2,capture,2-1,1-3,-1,-1
42,0,28,17,swap,swap,mobilize,2,mobilize,2-3,1-3,-1,-1
43,1,28,17,swap,swap,mobilize,2,mobilize,1-0,1-1,4-2,3-2
44,0,28,18,swap,swap,mobilize,2,mobilize,2-1,2-2,1-4,2-4
45,1,29,18,swap,move2,mobilize,1,move2,2-0,2-2,-1,-1
46,0,29,19,move2,move2,mobilize,0,move2,2-0,2-2,-1,-1
47,1,29,19,move2,move1,mobilize,1,move1,3-2,3-3,-1,-1
48,0,29,20,move1,move1,mobilize,0,move1,2-4,1-3,-1,-1
49,1,29,20,move1,move2,mobilize,1,move2,2-0,1-0,-1,-1
50,0,29,21,move1,move2,mobilize,1,move2,1-3,2-4,-1,-1
