turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,3-0,3-1,-1,-1
2,0,0,0,move1,capture,mobilize,0,move1,2-6,2-5,3-6,3-5
3,1,0,0,move1,capture,swap,2,swap,2-0,2-1,4-0,4-1
4,0,0,0,move1,capture,swap,0,move1,3-5,3-4,-1,-1
5,1,0,0,move1,capture,swap,0,move1,2-1,2-2,-1,-1
6,0,0,3,mobilize,capture,swap,0,mobilize,3-4,3-3,-1,-1
7,1,3,3,mobilize,capture,mobilize,2,mobilize,4-1,3-3,-1,-1
8,0,3,6,mobilize,capture,mobilize,1,capture,4-1,3-1,-1,-1
9,1,6,6,capture,capture,mobilize,0,capture,2-2,3-2,2-0,2-1
10,0,6,6,capture,capture,move2,2,move2,2-5,2-4,4-1,4-0
11,1,9,6,capture,capture,mobilize,2,mobilize,2-1,3-1,-1,-1
12,0,9,6,capture,capture,move2,2,move2,2-4,1-4,4-0,4-1
13,1,15,6,move2,capture,move2,0,move2,3-1,4-1,-1,-1
