turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,move2,2,move2,1-0,2-1,-1,-1
2,0,0,1,move1,mobilize,move1,2,move1,2-4,2-2,-1,-1
3,1,0,1,capture,mobilize,move1,0,capture,3-0,3-1,-1,-1
4,0,0,5,move1,mobilize,move1,0,move1,2-2,2-1,-1,-1
5,1,0,5,move1,move1,move1,1,move1,1-0,1-1,3-1,2-1
6,0,0,6,move2,move1,move1,0,move2,1-4,1-3,-1,-1
7,1,0,6,move2,move1,move1,0,move2,2-0,1-0,-1,-1
8,0,0,7,move2,mobilize,move1,1,mobilize,1-3,2-3,-1,-1
9,1,0,7,mobilize,mobilize,move1,0,mobilize,1-0,2-0,-1,-1
10,0,0,8,mobilize,move2,move1,1,move2,2-3,1-3,3-4,3-3
11,1,0,8,mobilize,move2,mobilize,2,mobilize,2-0,1-0,-1,-1
12,0,0,9,mobilize,move2,move2,2,move2,1-3,2-3,3-3,3-2
13,1,0,9,mobilize,move2,move2,1,move2,1-0,2-0,-1,-1
14,0,0,10,mobilize,move2,mobilize,2,mobilize,2-3,1-3,-1,-1
15,1,0,10,mobilize,swap,mobilize,1,swap,2-0,1-0,-1,-1
16,0,0,11,mobilize,move1,mobilize,1,move1,1-3,2-1,-1,-1
17,1,0,11,mobilize,move1,mobilize,1,move1,1-3,1-2,-1,-1
18,0,0,12,mobilize,move1,mobilize,1,move1,3-2,3-3,-1,-1
19,1,0,12,mobilize,mobilize,mobilize,1,mobilize,1-1,0-1,-1,-1
20,0,0,13,move1,mobilize,mobilize,0,move1,2-1,1-1,3-3,3-4
21,1,0,13,move1,move2,mobilize,1,move2,0-1,0-2,1-0,2-0
22,0,0,14,move1,capture,mobilize,1,capture,3-4,1-4,-1,-1
23,1,3,14,move1,move1,mobilize,1,move1,1-2,2-2,-1,-1
24,0,3,14,move1,move1,move1,2,move1,2-4,2-3,1-4,1-3
25,1,3,14,swap,move1,move1,0,swap,2-0,2-1,-1,-1
26,0,3,15,swap,capture,move1,1,capture,2-3,2-2,-1,-1
27,1,6,15,swap,move2,move1,1,move2,1-2,1-3,-1,-1
28,0,6,16,swap,mobilize,move1,1,mobilize,1-4,2-3,-1,-1
29,1,7,16,mobilize,mobilize,move1,0,mobilize,0-2,2-2,-1,-1
30,0,7,16,mobilize,mobilize,mobilize,2,mobilize,1-1,0-1,-1,-1
31,1,8,16,move2,mobilize,mobilize,0,move2,2-1,3-1,1-2,1-1
32,0,8,16,capture,mobilize,mobilize,0,capture,2-3,1-3,-1,-1
33,1,12,16,move1,mobilize,mobilize,0,move1,1-1,0-1,-1,-1
34,0,12,16,move1,move1,mobilize,1,move1,0-2,0-3,1-3,1-2
35,1,13,16,move1,move1,move2,2,move2,3-1,3-2,1-1,2-1
36,0,13,16,mobilize,move1,move2,0,mobilize,1-2,1-1,-1,-1
37,1,14,16,mobilize,move2,move2,1,move2,3-2,3-1,-1,-1
38,0,14,16,mobilize,move2,mobilize,2,mobilize,0-3,2-3,-1,-1
39,1,15,16,mobilize,move1,mobilize,1,move1,3-1,3-2,-1,-1
40,0,15,16,mobilize,swap,mobilize,1,swap,1-1,1-0,-1,-1
41,1,16,16,mobilize,mobilize,mobilize,1,mobilize,3-2,2-3,-1,-1
42,0,16,16,move2,mobilize,mobilize,0,move2,1-4,1-3,1-0,1-1
43,1,17,16,move2,move1,mobilize,1,move1,2-3,3-3,2-1,3-1
44,0,17,16,move1,move1,mobilize,0,move1,1-1,0-0,-1,-1
45,1,18,16,move1,move1,move2,2,move2,3-3,2-3,3-1,2-1
46,0,18,16,move1,move1,move1,2,move1,0-0,1-0,-1,-1
47,1,19,16,move1,move1,move1,0,move1,2-1,1-1,-1,-1
48,0,19,16,move1,move1,move1,1,move1,1-3,1-2,-1,-1
49,1,20,16,move2,move1,move1,0,move2,1-1,2-1,-1,-1
50,0,20,16,move2,move1,move1,0,move2,1-0,1-1,-1,-1
