turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,swap,move2,2,move2,1-0,2-1,-1,-1
2,0,0,0,mobilize,swap,mobilize,2,mobilize,3-4,3-3,-1,-1
3,1,1,0,move1,swap,mobilize,0,move1,2-1,2-2,3-0,3-1
4,0,1,1,move1,move1,mobilize,1,move1,3-3,2-2,-1,-1
5,1,1,1,move1,move1,swap,2,swap,3-3,3-2,2-0,2-1
6,0,1,2,move1,move1,mobilize,2,mobilize,2-4,2-1,-1,-1
7,1,1,2,move2,move1,mobilize,0,move2,2-4,3-4,-1,-1
8,0,1,3,move1,move1,mobilize,0,move1,1-4,0-3,-1,-1
9,1,1,3,move2,move1,mobilize,0,move2,3-4,3-3,-1,-1
10,0,1,4,move2,move1,move2,2,move2,0-3,1-3,2-1,1-1
11,1,1,4,move1,move1,move2,0,move1,3-1,4-2,-1,-1
12,0,1,5,move1,move1,move1,2,move1,1-3,1-4,-1,-1
13,1,1,5,mobilize,move1,move1,0,mobilize,3-3,4-3,-1,-1
14,0,1,6,move1,move1,move1,0,move1,1-4,1-3,1-1,1-0
15,1,1,6,move2,move1,move1,0,move2,4-3,3-3,-1,-1
16,0,1,7,mobilize,move1,move1,0,mobilize,1-0,2-1,-1,-1
17,1,1,7,mobilize,move2,move1,1,move2,4-2,4-3,-1,-1
18,0,1,8,mobilize,move2,move2,2,move2,1-3,1-2,-1,-1
19,1,1,8,mobilize,move1,move2,1,move1,4-3,4-2,-1,-1
20,0,1,9,mobilize,move1,move1,2,move1,2-1,0-1,-1,-1
21,1,1,9,mobilize,move1,move1,1,move1,3-3,4-3,-1,-1
22,0,1,10,mobilize,move1,capture,2,capture,0-1,1-1,-1,-1
23,1,4,10,mobilize,move1,capture,2,capture,3-2,2-2,-1,-1
24,0,4,10,mobilize,move1,capture,0,mobilize,1-2,1-3,1-1,2-1
25,1,4,10,mobilize,move1,capture,1,move1,4-3,3-3,-1,-1
26,0,4,11,mobilize,move1,capture,0,mobilize,1-3,1-2,2-1,2-2
27,1,7,11,mobilize,move1,mobilize,2,mobilize,3-2,2-2,-1,-1
28,0,7,12,mobilize,move1,move2,2,move2,1-2,2-2,2-4,2-3
29,1,7,12,mobilize,move1,capture,2,capture,4-2,4-3,-1,-1
30,0,7,16,mobilize,move1,mobilize,2,mobilize,2-3,3-3,-1,-1
31,1,7,16,move1,move1,mobilize,0,move1,1-0,1-1,4-3,4-2
32,0,7,17,move2,move1,mobilize,0,move2,2-3,1-3,-1,-1
33,1,7,17,move2,move2,mobilize,1,move2,1-1,2-1,-1,-1
34,0,7,18,move2,move2,move2,2,move2,1-3,1-2,1-4,2-4
35,1,7,18,swap,move2,move2,0,swap,2-1,3-1,-1,-1
36,0,7,19,swap,move2,swap,2,swap,1-2,1-3,-1,-1
37,1,7,19,swap,move1,swap,1,move1,4-2,3-3,-1,-1
38,0,7,20,move2,move1,swap,0,move2,2-4,3-2,-1,-1
39,1,7,20,move2,move1,move2,2,move2,3-1,3-2,-1,-1
40,0,7,21,mobilize,move1,move2,0,mobilize,1-3,1-1,-1,-1
41,1,7,21,mobilize,move2,move2,1,move2,2-4,3-4,-1,-1
42,0,7,22,mobilize,move1,move2,1,move1,3-1,4-2,-1,-1
43,1,7,22,mobilize,move1,move1,2,move1,3-4,2-3,-1,-1
44,0,7,23,mobilize,move1,move1,0,mobilize,1-1,2-1,4-2,4-1
45,1,7,23,mobilize,move1,move1,1,move1,2-3,1-3,-1,-1
46,0,7,24,mobilize,move1,move1,2,move1,4-1,3-1,-1,-1
47,1,7,24,mobilize,move1,move1,1,move1,1-3,2-3,-1,-1
48,0,7,25,mobilize,move1,move1,1,move1,2-1,1-1,-1,-1
49,1,7,25,mobilize,move1,move1,1,move1,2-3,1-3,-1,-1
50,0,7,26,mobilize,move1,move1,0,mobilize,1-1,1-2,3-1,2-1
