turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,3-0,3-1,-1,-1
2,0,0,0,mobilize,capture,move1,2,move1,2-6,2-5,3-6,3-5
3,1,0,0,swap,capture,move1,0,swap,2-0,2-1,3-1,3-2
4,0,0,0,swap,capture,move1,2,move1,3-5,3-6,-1,-1
5,1,3,0,swap,capture,move1,2,move1,3-2,3-3,-1,-1
6,0,3,0,swap,capture,mobilize,2,mobilize,4-6,4-5,-1,-1
7,1,6,0,swap,capture,mobilize,2,mobilize,2-1,3-1,4-0,4-1
8,0,6,3,capture,capture,mobilize,0,capture,3-6,3-3,-1,-1
9,1,6,3,capture,capture,capture,2,capture,3-1,3-2,3-6,3-5
10,0,6,9,capture,capture,move2,2,move2,3-3,3-2,-1,-1
11,1,9,9,mobilize,capture,move2,0,mobilize,3-5,2-5,-1,-1
12,0,9,9,move2,capture,move2,0,move2,3-3,3-2,4-5,4-4
13,1,12,9,move2,capture,move2,0,move2,3-5,3-3,-1,-1
