turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,2-0,3-1,-1,-1
2,0,0,0,capture,swap,capture,2,capture,3-6,3-4,-1,-1
3,1,3,0,move1,swap,capture,0,move1,3-1,3-4,3-0,-1
4,0,3,0,move1,swap,capture,0,move1,3-6,3-5,-1,-1
5,1,3,0,swap,swap,capture,0,swap,4-0,4-1,-1,-1
6,0,3,0,swap,swap,capture,-1,None,-1,-1,-1,-1
7,1,3,0,capture,move2,move2,-1,None,-1,-1,-1,-1
8,0,3,3,capture,mobilize,move2,1,mobilize,3-5,3-3,-1,-1
9,1,6,3,mobilize,mobilize,move2,0,mobilize,3-1,3-3,3-0,-1
10,0,6,3,mobilize,mobilize,move1,2,move1,3-6,3-4,-1,-1
11,1,6,3,mobilize,mobilize,move1,2,move1,3-1,3-2,-1,-1
12,0,6,6,capture,mobilize,move1,0,capture,2-6,3-6,3-4,3-3
13,1,9,6,move1,mobilize,move1,0,move1,3-2,3-3,-1,-1
14,0,9,6,move2,mobilize,move1,0,move2,3-6,3-5,-1,-1
15,1,12,6,move2,capture,move1,1,capture,3-2,3-3,3-0,3-1
16,0,12,6,mobilize,capture,move1,0,mobilize,3-5,3-4,-1,-1
17,1,18,6,mobilize,mobilize,move1,1,mobilize,3-3,3-4,-1,-1
18,0,18,6,move1,mobilize,move1,0,move1,3-6,3-5,2-6,2-5
19,1,21,6,move1,move2,move1,1,move2,3-1,3-2,4-1,4-2
20,0,21,6,move1,move2,move1,0,move1,3-5,3-4,-1,-1
21,1,25,6,move1,swap,move1,1,swap,4-2,5-3,-1,-1
22,0,25,9,move1,swap,move1,1,swap,2-5,3-3,-1,-1
23,1,29,9,move1,mobilize,move1,1,mobilize,2-5,3-3,-1,-1
24,0,29,9,move1,mobilize,move1,0,move1,2-5,2-4,-1,-1
25,1,33,9,move1,mobilize,move1,0,move1,3-2,4-2,-1,-1
26,0,33,9,capture,mobilize,move1,0,capture,2-4,2-5,-1,-1
27,1,40,9,move2,mobilize,move1,0,move2,3-3,3-4,-1,-1
