turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,4,0,capture,swap,move2,2,move2,3-1,3-3,-1,-1
2,0,4,4,capture,capture,move2,1,capture,5-4,3-3,-1,-1
3,1,4,4,capture,capture,move1,2,move1,5-4,5-3,-1,-1
4,0,4,8,capture,capture,move1,2,move1,1-4,2-4,-1,-1
5,1,4,8,capture,capture,swap,2,swap,1-2,2-2,-1,-1
6,0,4,12,capture,capture,capture,2,capture,2-4,2-2,-1,-1
7,1,4,12,capture,capture,capture,-1,None,-1,-1,-1,-1
8,0,4,12,move2,move2,mobilize,-1,None,-1,-1,-1,-1
9,1,4,12,move2,move2,mobilize,2,mobilize,5-3,5-4,2-4,3-4
10,0,4,16,move1,move2,mobilize,0,move1,2-2,3-2,-1,-1
11,1,4,16,move1,move2,move1,2,move1,3-4,4-4,5-2,5-3
12,0,4,20,capture,move2,move1,0,capture,3-5,3-4,-1,-1
13,1,5,20,move1,move2,move1,0,move1,4-4,3-4,-1,-1
14,0,5,24,move2,move2,move1,0,move2,3-5,3-4,-1,-1
15,1,5,24,move2,move2,capture,2,capture,5-3,4-3,-1,-1
16,0,5,29,move2,move2,mobilize,2,mobilize,3-4,4-4,-1,-1
17,1,5,29,move2,move2,mobilize,2,mobilize,5-4,5-3,3-1,4-1
18,0,5,33,move1,move2,mobilize,0,move1,3-4,2-3,-1,-1
19,1,5,33,move1,move2,move2,2,move2,5-3,5-2,4-3,4-2
20,0,5,37,move1,move2,move2,0,move1,2-3,2-2,-1,-1
21,1,5,37,swap,move2,move2,0,swap,4-1,5-1,-1,-1
22,0,5,41,swap,move2,move2,0,swap,2-2,4-2,-1,-1
