turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,swap,2,swap,1-0,2-1,-1,-1
2,0,0,0,mobilize,mobilize,swap,0,mobilize,2-4,2-3,-1,-1
3,1,0,0,mobilize,mobilize,mobilize,2,mobilize,2-0,2-3,-1,-1
4,0,0,0,mobilize,mobilize,mobilize,0,mobilize,1-4,1-3,2-0,1-0
5,1,1,0,move2,mobilize,mobilize,0,move2,2-3,2-2,3-0,3-1
6,0,1,0,capture,mobilize,mobilize,0,capture,1-3,1-2,-1,-1
7,1,5,0,capture,mobilize,mobilize,0,capture,2-2,1-2,-1,-1
8,0,5,0,capture,capture,mobilize,1,capture,1-4,1-3,1-0,1-1
9,1,9,0,move1,capture,mobilize,0,move1,2-1,1-1,-1,-1
10,0,9,0,move2,capture,mobilize,0,move2,1-3,1-2,-1,-1
11,1,13,0,move2,move2,mobilize,1,move2,2-2,1-2,-1,-1
12,0,13,0,swap,move2,mobilize,0,swap,2-4,2-3,-1,-1
13,1,13,0,move1,move2,mobilize,0,move1,2-2,2-3,-1,-1
14,0,13,1,move1,move2,swap,2,swap,1-4,1-3,3-4,3-3
15,1,13,1,move1,move2,swap,2,swap,3-1,3-3,-1,-1
16,0,13,2,move1,move2,move1,2,move1,3-1,2-3,-1,-1
17,1,13,2,capture,move2,move1,0,capture,3-3,3-2,-1,-1
18,0,13,6,move1,move2,move1,0,move1,2-2,2-1,-1,-1
19,1,13,6,move1,move1,move1,1,move1,1-0,3-0,-1,-1
20,0,13,7,mobilize,move1,move1,0,mobilize,1-3,1-2,-1,-1
21,1,13,7,mobilize,move2,move1,1,move2,3-2,3-3,-1,-1
22,0,13,8,mobilize,capture,move1,1,capture,1-2,1-3,-1,-1
23,1,16,8,mobilize,move1,move1,1,move1,3-3,2-3,-1,-1
24,0,16,9,move2,move1,move1,0,move2,1-3,2-3,1-4,2-4
25,1,16,9,move1,move1,move1,0,move1,3-3,3-2,-1,-1
26,0,16,10,mobilize,move1,move1,0,mobilize,2-3,1-3,-1,-1
27,1,16,10,capture,move1,move1,0,capture,3-0,2-0,3-1,2-1
28,0,16,14,swap,move1,move1,0,swap,2-2,2-1,-1,-1
29,1,16,14,swap,capture,move1,1,capture,3-2,3-1,-1,-1
30,0,16,15,swap,capture,move2,2,move2,1-3,2-3,-1,-1
31,1,16,15,swap,capture,move2,0,swap,3-1,2-3,-1,-1
32,0,16,19,swap,mobilize,move2,1,mobilize,2-2,2-3,-1,-1
33,1,16,19,swap,mobilize,move2,2,move2,1-0,2-1,-1,-1
34,0,16,20,move2,mobilize,move2,0,move2,2-4,2-1,-1,-1
35,1,16,20,move2,mobilize,move2,0,move2,2-4,1-3,-1,-1
36,0,16,21,capture,mobilize,move2,0,capture,3-1,3-2,-1,-1
37,1,19,21,move1,mobilize,move2,0,move1,2-0,2-1,-1,-1
38,0,19,22,move1,mobilize,mobilize,2,mobilize,1-4,2-3,-1,-1
39,1,19,22,capture,mobilize,mobilize,0,capture,2-0,1-0,-1,-1
40,0,19,26,mobilize,mobilize,mobilize,0,mobilize,2-3,1-3,-1,-1
41,1,19,26,move2,mobilize,mobilize,0,move2,1-0,1-1,3-0,3-1
42,0,19,27,move2,mobilize,mobilize,1,mobilize,3-2,3-3,2-3,1-3
43,1,19,27,move2,move1,mobilize,1,move1,1-1,2-1,2-0,3-0
44,0,19,28,move2,swap,mobilize,1,swap,3-3,2-3,-1,-1
45,1,20,28,move2,capture,mobilize,1,capture,3-0,2-2,-1,-1
46,0,20,31,move2,move1,mobilize,1,move1,3-0,3-1,-1,-1
47,1,21,31,move2,swap,mobilize,1,swap,1-0,2-0,-1,-1
48,0,21,32,move2,move2,mobilize,1,move2,3-0,2-2,-1,-1
49,1,21,32,move1,move2,mobilize,0,move1,3-0,3-1,-1,-1
50,0,21,33,move1,move1,mobilize,1,move1,1-3,2-4,-1,-1
