turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,4,0,capture,swap,move2,2,move2,3-1,3-3,-1,-1
2,0,4,4,capture,capture,move2,1,capture,5-4,3-3,-1,-1
3,1,4,4,capture,capture,move1,2,move1,5-4,5-3,-1,-1
4,0,4,8,capture,capture,move1,2,move1,1-4,2-4,-1,-1
5,1,4,8,capture,capture,swap,2,swap,1-2,2-2,-1,-1
6,0,4,12,capture,capture,capture,2,capture,2-4,2-2,-1,-1
7,1,4,12,capture,capture,capture,-1,None,-1,-1,-1,-1
8,0,4,12,move2,move2,mobilize,-1,None,-1,-1,-1,-1
9,1,4,12,move2,move2,mobilize,2,mobilize,5-3,4-3,2-4,2-3
10,0,4,16,move2,move2,move1,2,move1,3-5,3-4,2-2,3-2
11,1,4,16,move2,move2,move1,2,move1,5-2,5-3,-1,-1
12,0,4,20,capture,move2,move1,0,capture,3-4,4-4,-1,-1
13,1,7,20,move1,move2,move1,0,move1,4-3,3-3,-1,-1
14,0,7,24,move1,move2,move1,1,move2,3-2,3-3,-1,-1
15,1,7,24,move1,capture,move1,1,capture,2-3,3-4,-1,-1
16,0,7,31,move1,mobilize,move1,1,mobilize,4-4,4-3,-1,-1
17,1,7,31,move1,mobilize,move1,1,mobilize,3-1,3-2,5-3,4-3
18,0,7,35,move1,mobilize,move1,0,move1,3-5,4-5,-1,-1
19,1,7,35,move2,mobilize,move1,0,move2,3-2,4-2,-1,-1
20,0,7,39,move1,mobilize,move1,0,move1,4-5,5-4,-1,-1
21,1,7,39,swap,mobilize,move1,0,swap,4-2,3-2,-1,-1
22,0,7,43,swap,mobilize,move1,0,swap,5-4,3-4,-1,-1
23,1,11,43,mobilize,mobilize,move1,0,mobilize,5-4,3-3,-1,-1
24,0,11,43,mobilize,mobilize,move1,2,move1,4-4,4-5,-1,-1
25,1,15,43,mobilize,mobilize,move1,2,move1,4-3,4-2,-1,-1
26,0,15,43,mobilize,mobilize,mobilize,2,mobilize,3-4,4-4,-1,-1
27,1,19,43,swap,mobilize,mobilize,0,swap,3-2,3-1,4-2,5-2
28,0,19,47,swap,mobilize,mobilize,0,swap,4-5,3-3,-1,-1
29,1,23,47,move2,mobilize,mobilize,0,move2,5-2,3-3,-1,-1
30,0,23,47,move2,move2,mobilize,1,move2,5-2,5-3,4-4,4-3
31,1,27,47,move1,move2,mobilize,0,move1,4-5,3-4,-1,-1
32,0,27,47,move1,move1,mobilize,1,move1,5-4,6-3,-1,-1
33,1,31,47,mobilize,move1,mobilize,0,mobilize,3-1,3-2,-1,-1
34,0,31,47,mobilize,swap,mobilize,1,swap,5-3,5-2,-1,-1
35,1,35,47,mobilize,move1,mobilize,1,move1,3-4,4-3,-1,-1
36,0,35,47,capture,move1,mobilize,0,capture,5-2,5-3,3-4,4-4
37,1,42,47,move1,move1,mobilize,0,move1,4-3,5-3,-1,-1
38,0,42,47,move1,move1,move2,2,move2,3-5,4-5,6-3,5-3
39,1,46,47,move1,move1,swap,2,swap,3-2,4-2,-1,-1
40,0,46,51,move1,move1,capture,2,capture,4-5,3-3,-1,-1
41,1,49,51,move1,move1,capture,2,capture,4-3,4-4,-1,-1
42,0,49,58,move1,move1,move1,2,move1,3-3,4-3,-1,-1
43,1,49,58,capture,move1,move1,0,capture,4-2,3-2,-1,-1
44,0,49,65,capture,move1,move1,0,capture,3-3,3-2,-1,-1
45,1,52,65,move2,move1,move1,0,move2,4-5,3-5,-1,-1
46,0,52,69,move1,move1,move1,0,move1,3-5,3-4,-1,-1
47,1,52,69,mobilize,move1,move1,0,mobilize,3-1,2-1,-1,-1
48,0,52,73,move2,move1,move1,0,move2,3-4,4-4,5-3,4-3
49,1,52,73,move2,move1,move1,1,move1,1-2,2-2,-1,-1
50,0,52,77,move2,move1,move1,0,move2,4-4,3-4,-1,-1
