turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,2-0,3-1,-1,-1
2,0,0,0,move1,move1,mobilize,1,move1,2-6,2-5,4-6,4-5
3,1,0,0,move1,move1,mobilize,0,move1,4-0,4-1,-1,-1
4,0,0,0,move1,move1,mobilize,0,move1,3-6,3-5,-1,-1
5,1,0,0,capture,move1,mobilize,0,capture,3-0,4-0,-1,-1
6,0,0,0,capture,capture,mobilize,1,capture,3-5,3-4,-1,-1
7,1,0,0,capture,capture,mobilize,2,mobilize,4-0,3-0,4-1,4-2
8,0,0,3,capture,capture,capture,2,capture,3-4,3-3,4-5,3-5
9,1,3,3,swap,capture,capture,0,swap,3-1,3-3,3-0,-1
10,0,3,3,swap,capture,capture,-1,None,-1,-1,-1,-1
11,1,3,3,move1,move1,capture,-1,None,-1,-1,-1,-1
12,0,3,3,move1,move1,capture,0,move1,2-6,3-6,-1,-1
13,1,3,3,move2,move1,capture,0,move2,4-2,3-2,-1,-1
14,0,3,6,move2,move1,capture,2,capture,3-5,3-2,3-6,-1
15,1,6,6,move2,move1,capture,0,move2,3-1,3-3,-1,-1
16,0,6,9,move2,move1,swap,2,swap,3-5,3-3,3-6,-1
17,1,6,9,mobilize,move1,swap,0,mobilize,4-0,3-1,-1,-1
18,0,6,9,mobilize,mobilize,swap,1,mobilize,2-5,2-6,-1,-1
19,1,6,9,move2,mobilize,swap,0,move2,3-1,4-1,2-0,2-1
20,0,6,12,move1,mobilize,swap,0,move1,3-5,3-3,-1,-1
