turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,swap,move2,capture,-1,None,-1,-1,-1,-1
1,1,0,0,swap,swap,capture,1,swap,2-0,2-1,-1,-1
2,0,0,0,capture,swap,capture,0,capture,2-4,2-1,-1,-1
3,1,3,0,move1,swap,capture,0,move1,2-4,1-4,-1,-1
4,0,3,3,move1,swap,move2,2,move2,1-4,2-4,-1,-1
5,1,3,3,move1,swap,move1,2,move1,1-0,0-1,-1,-1
6,0,3,4,move2,swap,move1,0,move2,2-1,2-2,-1,-1
7,1,4,4,move2,swap,move1,1,swap,3-0,2-2,-1,-1
8,0,4,4,move2,swap,move2,2,move2,1-4,2-4,-1,-1
9,1,5,4,move2,swap,move2,2,move2,2-0,1-1,-1,-1
10,0,5,4,move2,mobilize,move2,1,mobilize,3-0,1-1,-1,-1
11,1,6,4,mobilize,mobilize,move2,0,mobilize,3-0,3-1,-1,-1
12,0,6,4,mobilize,mobilize,move1,2,move1,2-4,3-3,-1,-1
13,1,7,4,mobilize,mobilize,move1,1,mobilize,0-1,0-0,3-1,3-2
14,0,7,4,mobilize,mobilize,move1,2,move1,1-1,1-0,-1,-1
15,1,8,4,mobilize,move2,move1,1,move2,0-0,0-1,3-2,4-2
16,0,8,4,mobilize,move2,mobilize,2,mobilize,1-0,1-1,-1,-1
17,1,9,4,mobilize,move2,swap,2,swap,0-1,0-2,4-2,4-1
18,0,9,4,mobilize,move1,swap,1,move1,1-1,1-3,-1,-1
19,1,9,4,move1,move1,swap,0,move1,0-2,0-3,2-2,1-2
20,0,9,4,capture,move1,swap,0,capture,1-3,2-3,-1,-1
21,1,10,4,capture,capture,swap,1,capture,1-2,2-2,-1,-1
22,0,10,7,mobilize,capture,swap,0,mobilize,2-3,2-2,-1,-1
23,1,10,7,move1,capture,swap,0,move1,4-1,4-0,1-0,1-1
24,0,10,10,move1,capture,swap,1,capture,2-3,0-3,3-3,-1
25,1,10,10,move1,capture,swap,0,move1,1-0,2-0,-1,-1
26,0,10,11,move1,capture,swap,0,move1,2-3,2-2,-1,-1
27,1,11,11,move1,capture,capture,2,capture,2-0,2-2,-1,-1
28,0,11,11,move1,capture,capture,0,move1,3-3,4-3,-1,-1
29,1,12,11,capture,capture,capture,0,capture,1-1,1-0,-1,-1
30,0,12,14,mobilize,capture,capture,0,mobilize,2-0,1-0,-1,-1
