turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,swap,capture,mobilize,0,swap,1-0,1-1,2-0,2-1
2,0,0,0,move2,capture,mobilize,0,move2,1-4,1-1,-1,-1
3,1,3,0,move2,capture,mobilize,1,capture,2-1,1-1,-1,-1
4,0,3,3,move2,move2,mobilize,1,move2,1-3,1-4,-1,-1
5,1,4,3,move2,move2,mobilize,2,mobilize,2-1,2-2,3-0,4-0
6,0,4,3,move2,move2,move2,2,move2,1-3,2-3,3-4,3-3
7,1,5,3,move2,move2,move1,2,move1,1-0,0-0,-1,-1
8,0,5,3,mobilize,move2,move1,0,mobilize,2-4,1-3,-1,-1
9,1,6,3,mobilize,move2,move1,2,move1,0-0,1-0,-1,-1
10,0,6,3,mobilize,mobilize,move1,1,mobilize,1-3,2-4,-1,-1
11,1,7,3,mobilize,mobilize,move1,2,move1,1-0,2-0,-1,-1
12,0,7,3,mobilize,mobilize,move1,2,move1,2-4,3-4,-1,-1
13,1,8,3,move2,mobilize,move1,0,move2,2-0,3-0,4-0,4-1
14,0,8,3,move1,mobilize,move1,0,move1,2-3,2-4,-1,-1
15,1,9,3,move1,mobilize,move1,0,move1,4-1,3-1,-1,-1
16,0,9,3,move2,mobilize,move1,0,move2,2-4,2-3,-1,-1
17,1,10,3,move2,move1,move1,1,move1,3-0,4-0,3-1,3-2
18,0,10,3,move2,capture,move1,1,capture,2-3,2-4,-1,-1
19,1,14,3,move2,swap,move1,1,swap,3-2,3-3,-1,-1
20,0,14,4,move2,move2,move1,1,move2,1-4,2-2,-1,-1
21,1,14,4,move2,move1,move1,1,move1,4-0,3-0,-1,-1
22,0,14,5,swap,move1,move1,0,swap,3-4,2-3,-1,-1
23,1,15,5,swap,move1,move1,0,swap,3-0,2-2,-1,-1
24,0,15,6,capture,move1,move1,0,capture,3-0,2-2,-1,-1
25,1,15,6,capture,move1,capture,2,capture,3-2,3-3,-1,-1
26,0,15,10,move2,move1,capture,0,move2,2-3,3-3,-1,-1
27,1,15,10,swap,move1,capture,0,swap,3-0,4-1,-1,-1
28,0,15,14,swap,move1,move2,2,move2,2-4,1-4,-1,-1
29,1,16,14,move1,move1,move2,0,move1,1-0,2-2,-1,-1
30,0,16,14,move1,move1,mobilize,2,mobilize,1-0,2-1,-1,-1
31,1,17,14,move1,move1,mobilize,2,mobilize,4-1,3-1,2-0,3-0
32,0,17,14,move1,move1,mobilize,0,move1,2-1,1-1,-1,-1
33,1,18,14,move1,move1,move1,2,move1,3-1,4-1,3-0,4-0
34,0,18,14,move2,move1,move1,0,move2,1-1,2-1,-1,-1
35,1,19,14,move1,move1,move1,0,move1,4-1,3-2,-1,-1
36,0,19,14,move1,move1,move1,0,move1,2-1,1-1,-1,-1
37,1,20,14,mobilize,move1,move1,0,mobilize,4-0,4-1,-1,-1
38,0,20,14,mobilize,capture,move1,1,capture,1-1,2-1,-1,-1
