turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,capture,2,capture,1-0,2-1,-1,-1
2,0,0,0,move1,mobilize,capture,0,move1,2-4,2-3,-1,-1
3,1,3,0,move1,mobilize,move1,2,move1,2-1,2-3,2-0,-1
4,0,3,0,move2,mobilize,move1,0,move2,2-4,2-3,-1,-1
5,1,3,0,swap,mobilize,move1,0,swap,3-0,3-1,-1,-1
6,0,3,1,swap,swap,move1,1,swap,1-4,2-4,2-3,2-2
7,1,3,1,swap,swap,capture,2,capture,3-1,3-0,-1,-1
8,0,3,5,swap,swap,swap,2,swap,2-2,2-1,-1,-1
9,1,4,5,swap,swap,swap,0,swap,1-0,2-2,-1,-1
10,0,4,6,move1,swap,swap,0,move1,3-4,2-2,-1,-1
11,1,4,6,move1,move1,swap,1,move1,3-4,2-4,-1,-1
12,0,4,7,move1,move1,swap,2,swap,1-0,2-0,-1,-1
13,1,4,7,move1,move1,move2,2,move2,3-0,2-0,-1,-1
14,0,4,8,move1,move1,mobilize,2,mobilize,3-0,2-1,-1,-1
15,1,4,8,swap,move1,mobilize,0,swap,2-4,1-4,-1,-1
16,0,4,9,swap,move2,mobilize,1,move2,3-4,3-3,-1,-1
17,1,4,9,swap,move2,mobilize,0,swap,1-0,2-1,-1,-1
18,0,4,10,capture,move2,mobilize,0,capture,3-3,2-1,-1,-1
19,1,7,10,capture,move2,mobilize,0,capture,2-0,2-1,-1,-1
20,0,7,14,move2,move2,mobilize,0,move2,1-0,2-0,-1,-1
21,1,7,14,move2,move2,move1,2,move1,3-3,2-3,2-0,2-1
22,0,7,15,mobilize,move2,move1,0,mobilize,1-0,1-2,-1,-1
23,1,7,15,swap,move2,move1,0,swap,2-3,1-3,2-1,1-1
24,0,7,16,mobilize,move2,move1,0,mobilize,2-4,1-3,-1,-1
25,1,7,16,mobilize,swap,move1,1,swap,1-1,2-1,-1,-1
26,0,7,17,mobilize,swap,move2,2,move2,1-3,2-3,-1,-1
27,1,7,17,mobilize,move2,move2,1,move2,1-4,2-3,-1,-1
28,0,7,18,mobilize,move1,move2,1,move1,1-4,1-3,-1,-1
29,1,7,18,mobilize,move1,mobilize,2,mobilize,2-4,3-3,-1,-1
30,0,7,19,mobilize,swap,mobilize,1,swap,1-2,1-1,-1,-1
31,1,7,19,mobilize,capture,mobilize,1,capture,3-3,1-3,-1,-1
32,0,7,23,mobilize,swap,mobilize,1,swap,3-3,2-3,-1,-1
33,1,7,23,mobilize,capture,mobilize,1,capture,1-0,1-1,-1,-1
34,0,7,27,mobilize,move1,mobilize,1,move1,1-0,1-1,-1,-1
35,1,7,27,move2,move1,mobilize,0,move2,1-3,1-2,2-1,1-1
36,0,7,28,move2,move1,move1,2,move1,3-3,3-2,1-0,0-0
37,1,7,28,move2,mobilize,move1,1,mobilize,2-0,2-1,-1,-1
38,0,7,29,capture,mobilize,move1,0,capture,0-0,0-2,-1,-1
39,1,10,29,swap,mobilize,move1,0,swap,2-1,2-2,-1,-1
40,0,10,30,swap,move2,move1,1,move2,3-2,2-2,1-4,1-3
41,1,10,30,swap,swap,move1,1,swap,2-1,1-0,-1,-1
42,0,10,31,swap,swap,move1,0,swap,0-2,1-2,-1,-1
43,1,10,31,move1,swap,move1,0,move1,1-0,1-2,-1,-1
44,0,10,32,move1,move1,move1,1,move1,1-0,1-2,-1,-1
45,1,10,32,swap,move1,move1,0,swap,0-2,0-1,-1,-1
46,0,10,33,move1,move1,move1,0,move1,1-3,1-1,-1,-1
47,1,10,33,mobilize,move1,move1,0,mobilize,1-3,0-3,-1,-1
48,0,10,34,mobilize,capture,move1,1,capture,1-1,2-1,-1,-1
49,1,10,34,swap,capture,move1,0,swap,1-0,1-1,0-3,0-2
50,0,10,38,swap,move2,move1,1,move2,1-2,1-1,-1,-1
