turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,1-0,2-1,-1,-1
2,0,0,0,move1,move1,mobilize,1,move1,1-4,1-3,3-4,3-3
3,1,0,0,move1,move1,mobilize,1,move1,3-0,3-1,-1,-1
4,0,0,0,move1,move1,mobilize,0,move1,3-3,2-3,-1,-1
5,1,0,0,capture,move1,mobilize,0,capture,3-1,3-0,-1,-1
6,0,0,3,capture,move1,mobilize,0,capture,2-3,2-1,2-4,-1
7,1,0,3,capture,move1,mobilize,2,mobilize,1-0,1-1,3-0,3-1
8,0,0,6,capture,move1,mobilize,0,capture,2-3,2-0,2-4,-1
9,1,3,6,swap,move1,mobilize,0,swap,1-1,1-3,1-0,-1
10,0,3,6,move1,move1,mobilize,0,move1,1-4,1-1,-1,-1
11,1,3,6,move1,move1,move1,2,move1,1-0,2-0,3-1,2-1
12,0,3,6,capture,move1,move1,0,capture,1-1,1-2,-1,-1
13,1,6,6,move1,move1,move1,0,move1,2-1,2-3,2-0,-1
14,0,6,7,move2,move1,move1,0,move2,1-2,2-2,-1,-1
15,1,6,7,capture,move1,move1,0,capture,1-4,2-3,-1,-1
16,0,6,11,move2,move1,move1,0,move2,2-2,2-1,-1,-1
