turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move2,move1,capture,-1,None,-1,-1,-1,-1
1,1,1,0,move2,move1,capture,0,move2,2-0,2-2,-1,-1
2,0,1,0,move1,move1,capture,0,move1,1-4,2-3,-1,-1
3,1,7,0,move1,move1,swap,2,swap,2-2,2-3,-1,-1
4,0,7,0,mobilize,move1,swap,0,mobilize,2-4,2-3,-1,-1
5,1,8,0,capture,move1,swap,0,capture,1-0,1-1,3-0,3-1
6,0,8,5,swap,move1,swap,0,swap,2-3,2-2,-1,-1
7,1,8,5,swap,move1,swap,0,swap,1-1,2-3,-1,-1
8,0,8,5,swap,move2,swap,1,move2,1-1,1-2,-1,-1
9,1,9,5,swap,swap,swap,1,swap,3-1,2-2,-1,-1
10,0,9,5,mobilize,swap,swap,0,mobilize,3-4,2-3,-1,-1
11,1,10,5,mobilize,capture,swap,1,capture,1-0,1-2,-1,-1
12,0,10,10,mobilize,move1,swap,1,move1,2-3,2-2,-1,-1
13,1,11,10,move1,move1,swap,0,move1,1-2,2-2,2-0,2-1
14,0,11,10,move1,move1,mobilize,2,mobilize,1-0,2-1,-1,-1
15,1,12,10,move1,move1,capture,2,capture,3-4,3-3,1-0,1-1
16,0,12,15,move1,move1,mobilize,2,mobilize,2-1,1-1,-1,-1
17,1,13,15,move1,move1,move2,2,move2,3-3,3-2,1-0,1-1
18,0,13,15,move1,move1,move2,0,move1,1-4,2-4,-1,-1
19,1,14,15,move1,move1,mobilize,2,mobilize,1-1,1-2,-1,-1
20,0,14,15,move1,move1,mobilize,0,move1,2-4,1-4,-1,-1
21,1,15,15,move1,move1,move1,2,move1,3-2,3-1,1-2,1-1
22,0,15,15,capture,move1,move1,0,capture,1-4,2-4,-1,-1
23,1,21,15,move2,move1,move1,0,move2,2-2,2-3,-1,-1
24,0,21,15,move1,move1,move1,0,move1,1-4,2-3,-1,-1
25,1,22,15,move2,move1,move1,0,move2,3-1,3-2,-1,-1
26,0,22,15,swap,move1,move1,0,swap,2-4,1-3,-1,-1
27,1,23,15,move1,move1,move1,0,move1,1-1,2-1,-1,-1
28,0,23,15,swap,move1,move1,0,swap,1-1,1-2,-1,-1
29,1,24,15,capture,move1,move1,0,capture,3-2,1-2,-1,-1
30,0,24,20,capture,move1,move1,0,capture,1-3,1-2,-1,-1
31,1,30,20,move2,move1,move1,0,move2,2-2,2-3,-1,-1
32,0,30,20,move2,move1,move1,0,move2,3-2,2-3,-1,-1
33,1,31,20,move2,move1,move1,1,move1,1-0,2-0,-1,-1
34,0,31,20,mobilize,move1,move1,0,mobilize,1-4,2-4,-1,-1
35,1,32,20,mobilize,capture,move1,1,capture,2-0,1-0,-1,-1
36,0,32,25,mobilize,mobilize,move1,1,mobilize,2-3,2-2,-1,-1
37,1,33,25,capture,mobilize,move1,0,capture,1-0,1-1,2-1,2-2
38,0,33,30,move1,mobilize,move1,0,move1,2-3,2-2,-1,-1
39,1,33,30,mobilize,mobilize,move1,0,mobilize,1-1,1-2,-1,-1
40,0,33,30,mobilize,mobilize,move2,2,move2,2-4,1-4,-1,-1
41,1,34,30,move1,mobilize,move2,0,move1,1-2,2-2,2-0,2-1
42,0,34,30,move1,mobilize,swap,2,swap,1-4,2-4,-1,-1
43,1,35,30,move1,mobilize,swap,2,swap,2-1,2-3,-1,-1
44,0,35,30,move1,mobilize,mobilize,2,mobilize,2-4,2-3,-1,-1
45,1,36,30,move1,mobilize,mobilize,0,move1,1-0,1-1,-1,-1
46,0,36,30,capture,mobilize,mobilize,0,capture,1-3,1-2,-1,-1
47,1,42,30,move1,mobilize,mobilize,0,move1,2-2,2-3,-1,-1
48,0,42,30,move2,mobilize,mobilize,0,move2,1-4,1-3,-1,-1
49,1,43,30,mobilize,mobilize,mobilize,0,mobilize,2-4,2-3,-1,-1
50,0,43,30,move2,mobilize,mobilize,0,move2,1-2,0-2,2-1,3-1
51,1,44,30,move2,mobilize,mobilize,0,move2,1-1,1-2,-1,-1
52,0,44,30,mobilize,mobilize,mobilize,0,mobilize,0-2,1-1,-1,-1
53,1,45,30,swap,mobilize,mobilize,0,swap,2-3,3-3,1-2,0-2
54,0,45,30,swap,move1,mobilize,1,move1,3-1,2-1,1-3,1-2
55,1,46,30,move2,move1,mobilize,0,move2,3-3,1-2,-1,-1
56,0,46,30,move2,move1,mobilize,0,move2,3-3,3-1,-1,-1
57,1,47,30,move2,move1,mobilize,0,move2,0-2,1-3,-1,-1
58,0,47,30,capture,move1,mobilize,0,capture,1-1,2-0,-1,-1
59,1,53,30,move2,move1,mobilize,0,move2,2-2,2-1,-1,-1
60,0,53,30,move2,move1,capture,2,capture,1-4,2-4,3-1,2-1
61,1,59,30,move2,move1,move1,2,move1,2-2,2-1,-1,-1
62,0,59,30,move2,move1,move1,0,move2,2-0,2-1,-1,-1
63,1,60,30,move2,swap,move1,1,swap,1-3,2-3,-1,-1
64,0,60,30,move2,swap,move1,1,swap,1-4,2-3,-1,-1
65,1,61,30,move2,move1,move1,1,move1,1-4,2-3,-1,-1
66,0,61,30,capture,move1,move1,0,capture,2-1,1-1,-1,-1
