turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,4,0,move1,mobilize,mobilize,2,mobilize,3-1,3-3,-1,-1
2,0,4,0,move1,move1,mobilize,1,move1,5-4,4-4,1-4,2-4
3,1,8,0,move1,move1,move1,2,move1,1-2,2-2,5-2,4-2
4,0,8,0,move1,move1,move1,0,move1,2-4,3-4,-1,-1
5,1,12,0,capture,move1,move1,0,capture,2-2,3-2,-1,-1
6,0,12,1,capture,move1,move1,0,capture,3-4,3-3,-1,-1
7,1,13,1,mobilize,move1,move1,0,mobilize,3-2,3-4,3-1,-1
8,0,13,1,mobilize,capture,move1,1,capture,3-5,4-5,-1,-1
9,1,17,1,mobilize,capture,swap,2,swap,3-2,3-3,-1,-1
10,0,17,5,mobilize,capture,move1,2,move1,5-4,3-3,-1,-1
11,1,18,5,mobilize,move1,move1,1,move1,5-4,4-4,-1,-1
12,0,18,9,capture,move1,move1,0,capture,4-5,4-4,3-5,3-4
13,1,19,9,move1,move1,move1,0,move1,5-4,4-4,-1,-1
14,0,19,13,move2,move1,move1,0,move2,3-5,4-5,-1,-1
15,1,19,13,capture,move1,move1,0,capture,3-1,3-2,-1,-1
16,0,19,18,move2,move1,move1,0,move2,3-3,3-2,-1,-1
17,1,19,18,swap,move1,move1,0,swap,3-1,3-2,-1,-1
18,0,19,22,swap,mobilize,move1,1,mobilize,4-5,4-4,-1,-1
