turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,1-0,2-1,-1,-1
2,0,0,0,capture,swap,capture,2,capture,1-4,2-3,-1,-1
3,1,3,0,move1,swap,capture,0,move1,2-1,2-3,2-0,-1
4,0,3,0,move1,move1,capture,1,move1,2-4,2-1,-1,-1
5,1,6,0,move1,move1,swap,2,swap,2-4,1-4,-1,-1
6,0,6,0,move1,move1,capture,2,capture,1-4,2-4,-1,-1
7,1,9,0,move1,move1,move2,2,move2,1-4,2-4,-1,-1
8,0,9,1,move2,move1,move2,0,move2,2-1,2-2,-1,-1
9,1,9,1,mobilize,move1,move2,0,mobilize,3-0,2-1,-1,-1
10,0,9,2,mobilize,mobilize,move2,1,mobilize,3-4,3-3,-1,-1
11,1,9,2,mobilize,mobilize,move1,2,move1,1-4,2-3,-1,-1
12,0,9,3,move1,mobilize,move1,0,move1,2-4,3-4,3-3,3-2
13,1,9,3,capture,mobilize,move1,0,capture,2-3,1-3,-1,-1
14,0,9,4,capture,mobilize,move1,2,move1,3-4,4-4,-1,-1
15,1,12,4,move2,mobilize,move1,0,move2,2-1,2-2,-1,-1
16,0,12,5,capture,mobilize,move1,0,capture,3-2,2-2,-1,-1
17,1,15,5,mobilize,mobilize,move1,0,mobilize,2-1,2-2,-1,-1
18,0,15,5,mobilize,mobilize,move1,0,mobilize,1-4,0-4,2-4,3-4
19,1,16,5,move1,mobilize,move1,0,move1,1-3,1-2,2-1,2-2
20,0,16,5,move2,mobilize,move1,0,move2,3-4,3-3,-1,-1
21,1,17,5,move2,mobilize,move1,2,move1,2-0,2-1,-1,-1
22,0,17,5,move2,swap,move1,1,swap,0-4,1-4,3-3,2-3
23,1,18,5,move2,swap,move1,1,swap,2-1,2-3,-1,-1
24,0,18,5,move2,swap,mobilize,2,mobilize,1-4,2-4,-1,-1
25,1,19,5,move2,move1,mobilize,1,move1,1-2,2-1,-1,-1
26,0,19,5,move2,move1,capture,2,capture,4-4,4-3,1-2,0-2
27,1,23,5,move2,move1,move1,2,move1,2-3,2-4,-1,-1
28,0,23,5,move2,move1,move2,2,move2,0-2,0-1,-1,-1
29,1,24,5,swap,move1,move2,0,swap,2-1,1-2,-1,-1
30,0,24,5,swap,capture,move2,1,capture,4-3,4-2,-1,-1
31,1,28,5,swap,capture,move2,1,capture,2-2,4-2,1-2,-1
32,0,28,8,swap,move1,move2,1,move1,2-4,2-3,-1,-1
33,1,29,8,swap,mobilize,move2,1,mobilize,1-0,1-1,-1,-1
34,0,29,9,move2,mobilize,move2,0,move2,0-1,2-2,-1,-1
35,1,29,9,swap,mobilize,move2,0,swap,0-1,1-0,-1,-1
36,0,29,10,swap,mobilize,move2,0,swap,2-4,1-2,-1,-1
37,1,29,10,move2,mobilize,move2,0,move2,1-0,1-2,-1,-1
38,0,29,11,mobilize,mobilize,move2,0,mobilize,1-0,2-1,-1,-1
39,1,29,11,mobilize,mobilize,move2,2,move2,2-4,2-3,-1,-1
40,0,29,12,mobilize,move1,move2,1,move1,2-1,2-0,1-4,1-3
41,1,29,12,mobilize,move1,move2,1,move1,1-1,2-1,-1,-1
42,0,29,13,capture,move1,move2,0,capture,2-0,3-0,1-3,1-4
43,1,32,13,mobilize,move1,move2,0,mobilize,2-3,2-2,-1,-1
44,0,32,13,mobilize,move1,move1,2,move1,3-0,4-0,-1,-1
45,1,33,13,mobilize,capture,move1,1,capture,1-2,2-2,-1,-1
46,0,33,16,mobilize,move1,move1,1,move1,2-4,2-3,-1,-1
47,1,34,16,mobilize,swap,move1,1,swap,1-0,2-0,-1,-1
48,0,34,17,mobilize,mobilize,move1,1,mobilize,1-4,2-2,-1,-1
49,1,34,17,mobilize,mobilize,move1,2,move1,1-4,1-3,-1,-1
50,0,34,18,mobilize,mobilize,move1,0,mobilize,4-0,4-1,2-4,3-4
51,1,34,18,mobilize,mobilize,move2,2,move2,1-3,1-2,-1,-1
52,0,34,19,move1,mobilize,move2,0,move1,4-1,4-0,3-4,4-4
53,1,34,19,move1,mobilize,move2,2,move2,1-2,1-1,-1,-1
54,0,34,20,move2,mobilize,move2,0,move2,4-4,3-4,-1,-1
55,1,34,20,move1,mobilize,move2,0,move1,1-1,1-0,-1,-1
56,0,34,21,move1,mobilize,swap,2,swap,4-0,3-1,-1,-1
57,1,34,21,mobilize,mobilize,swap,0,mobilize,1-0,1-1,-1,-1
58,0,34,22,mobilize,move1,swap,1,move1,3-1,3-0,3-4,3-3
59,1,34,22,mobilize,move2,swap,1,move2,2-0,1-0,-1,-1
60,0,34,22,capture,move2,swap,0,capture,3-0,2-0,2-2,3-2
61,1,37,22,move1,move2,swap,0,move1,1-0,2-0,-1,-1
62,0,37,22,move2,move2,swap,0,move2,3-3,3-4,-1,-1
63,1,37,22,move2,move2,swap,0,move2,2-1,1-2,-1,-1
64,0,37,23,swap,move2,swap,0,swap,3-2,2-2,-1,-1
65,1,37,23,swap,mobilize,swap,1,mobilize,1-0,0-1,-1,-1
66,0,37,23,capture,mobilize,swap,0,capture,2-2,0-1,-1,-1
67,1,41,23,move1,mobilize,swap,0,move1,1-2,1-4,1-1,-1
