turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,4,0,move1,mobilize,mobilize,2,mobilize,3-1,3-3,-1,-1
2,0,4,0,move1,move1,mobilize,1,move1,3-5,3-6,5-4,5-5
3,1,8,0,move1,move1,move1,2,move1,1-2,2-2,5-2,4-2
4,0,8,0,move1,move1,move1,0,move1,1-4,1-3,-1,-1
5,1,12,0,capture,move1,move1,0,capture,4-2,3-2,-1,-1
6,0,12,0,capture,move1,capture,2,capture,3-6,4-6,-1,-1
7,1,16,0,capture,mobilize,capture,1,mobilize,2-2,2-3,-1,-1
8,0,16,3,capture,mobilize,capture,0,capture,1-3,2-3,-1,-1
9,1,20,3,capture,swap,capture,1,swap,3-1,2-1,3-2,2-2
10,0,20,7,capture,move1,capture,1,move1,1-3,3-3,-1,-1
11,1,20,7,capture,move1,capture,1,move1,1-3,1-2,-1,-1
12,0,20,11,capture,capture,capture,1,capture,4-6,4-5,-1,-1
13,1,20,11,capture,capture,capture,-1,None,-1,-1,-1,-1
14,0,20,11,move1,move2,capture,-1,None,-1,-1,-1,-1
15,1,20,11,move1,move2,capture,1,move2,1-2,2-3,-1,-1
16,0,20,18,move1,move2,swap,2,swap,3-3,2-3,-1,-1
17,1,24,18,move1,move2,mobilize,2,mobilize,2-1,3-3,-1,-1
18,0,24,18,move1,move2,mobilize,2,mobilize,4-5,4-4,2-1,2-0
19,1,28,18,move1,move2,move2,2,move2,3-1,3-2,2-2,2-3
20,0,28,18,move1,move2,move1,2,move1,5-5,4-6,-1,-1
21,1,32,18,move2,move2,move1,0,move2,3-2,2-2,-1,-1
22,0,32,18,move2,swap,move1,1,swap,2-0,3-0,-1,-1
23,1,36,18,move2,swap,move2,2,move2,2-2,3-2,-1,-1
24,0,36,18,move2,swap,swap,2,swap,4-6,4-5,-1,-1
25,1,40,18,move1,swap,swap,0,move1,2-3,3-4,-1,-1
26,0,40,22,move1,swap,move2,2,move2,4-5,3-3,-1,-1
27,1,44,22,move1,move1,move2,1,move1,3-2,3-3,-1,-1
28,0,44,22,move1,move1,move2,1,move1,3-2,3-1,-1,-1
29,1,48,22,move1,move1,move2,0,move1,4-5,3-5,-1,-1
30,0,48,22,move1,move1,mobilize,2,mobilize,3-0,4-0,-1,-1
31,1,52,22,swap,move1,mobilize,0,swap,3-5,4-5,-1,-1
32,0,52,26,capture,move1,mobilize,0,capture,3-1,3-3,-1,-1
33,1,55,26,move2,move1,mobilize,0,move2,4-5,4-4,-1,-1
34,0,55,30,move2,move1,move1,2,move1,3-5,2-5,4-0,5-0
35,1,55,30,move2,mobilize,move1,1,mobilize,3-1,3-2,-1,-1
36,0,55,34,move2,mobilize,move1,0,move2,2-5,2-3,-1,-1
37,1,55,34,move2,mobilize,mobilize,2,mobilize,4-5,3-5,-1,-1
38,0,55,38,move2,capture,mobilize,1,capture,2-3,1-3,5-0,6-0
39,1,58,38,move2,move2,mobilize,1,move2,3-2,3-3,-1,-1
40,0,58,42,move2,mobilize,mobilize,1,mobilize,1-3,3-3,-1,-1
41,1,58,42,capture,mobilize,mobilize,0,capture,3-2,2-3,-1,-1
42,0,58,49,capture,mobilize,mobilize,0,capture,3-3,3-4,-1,-1
43,1,61,49,move2,mobilize,mobilize,0,move2,2-3,3-3,-1,-1
44,0,61,49,move2,mobilize,swap,2,swap,1-4,1-3,5-4,4-4
45,1,65,49,move1,mobilize,swap,0,move1,3-1,3-3,-1,-1
46,0,65,53,move1,mobilize,move2,2,move2,1-3,3-3,-1,-1
47,1,65,53,mobilize,mobilize,move2,0,mobilize,3-5,3-4,-1,-1
48,0,65,57,mobilize,move1,move2,1,move1,4-4,5-4,6-0,5-0
49,1,65,57,capture,move1,move2,0,capture,2-3,2-4,1-3,1-4
50,0,65,64,move1,move1,move2,0,move1,3-3,3-4,-1,-1
