turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,move2,2,move2,1-0,2-1,-1,-1
2,0,0,1,move1,mobilize,move1,2,move1,2-4,2-2,-1,-1
3,1,0,1,capture,mobilize,move1,0,capture,3-0,3-1,-1,-1
4,0,0,2,capture,move1,move1,1,move1,1-4,2-4,3-4,3-3
5,1,3,2,move1,move1,move1,0,move1,2-1,2-2,-1,-1
6,0,3,2,move1,move1,move2,2,move2,3-3,4-3,-1,-1
7,1,4,2,move1,move1,move2,2,move2,3-1,2-2,-1,-1
8,0,4,2,move1,mobilize,move2,1,mobilize,4-3,4-2,-1,-1
9,1,5,2,move1,mobilize,mobilize,2,mobilize,2-0,3-1,-1,-1
10,0,5,2,move1,mobilize,move2,2,move2,1-4,1-3,4-2,4-1
11,1,6,2,mobilize,mobilize,move2,0,mobilize,3-1,3-2,-1,-1
12,0,6,2,move2,mobilize,move2,0,move2,2-4,1-4,1-3,1-2
13,1,7,2,move2,mobilize,move2,0,move2,2-1,3-1,-1,-1
14,0,7,2,move2,mobilize,mobilize,2,mobilize,4-1,4-2,-1,-1
15,1,8,2,swap,mobilize,mobilize,0,swap,3-1,1-1,-1,-1
16,0,8,2,swap,mobilize,move1,2,move1,1-4,0-4,4-2,4-1
17,1,9,2,swap,move1,move1,1,move1,1-1,2-1,3-2,3-1
18,0,9,2,swap,move1,move1,1,move1,0-4,1-4,-1,-1
19,1,9,2,mobilize,move1,move1,0,mobilize,2-2,1-2,-1,-1
20,0,9,2,mobilize,move1,move1,1,move1,2-2,3-2,-1,-1
21,1,10,2,mobilize,move2,move1,1,move2,1-2,2-2,-1,-1
22,0,10,2,capture,move2,move1,0,capture,1-4,0-4,3-2,4-2
23,1,14,2,move1,move2,move1,0,move1,3-1,4-1,-1,-1
24,0,14,2,move1,move2,move1,0,move1,1-4,2-4,-1,-1
25,1,15,2,move1,move2,swap,2,swap,3-1,3-2,-1,-1
26,0,15,2,capture,move2,swap,0,capture,4-2,4-3,-1,-1
27,1,19,2,move2,move2,swap,0,move2,2-2,2-4,2-1,-1
28,0,19,2,move2,mobilize,swap,1,mobilize,4-3,2-3,-1,-1
29,1,20,2,move2,mobilize,move1,2,move1,2-1,2-3,-1,-1
30,0,20,2,move2,mobilize,capture,2,capture,2-1,3-1,-1,-1
31,1,24,2,move2,mobilize,move2,2,move2,3-2,3-1,-1,-1
32,0,24,2,mobilize,mobilize,move2,0,mobilize,1-4,1-2,-1,-1
33,1,25,2,mobilize,mobilize,move1,2,move1,2-3,3-3,-1,-1
34,0,25,2,mobilize,move1,move1,1,move1,0-4,1-4,2-4,3-4
35,1,26,2,mobilize,move2,move1,1,move2,3-3,2-3,-1,-1
36,0,26,2,mobilize,mobilize,move1,1,mobilize,1-2,1-3,-1,-1
37,1,27,2,mobilize,mobilize,move2,2,move2,3-2,3-3,-1,-1
38,0,27,2,move1,mobilize,move2,0,move1,1-4,2-4,1-3,0-3
39,1,28,2,move1,mobilize,move2,0,move1,3-3,3-2,-1,-1
40,0,28,2,move1,mobilize,mobilize,2,mobilize,2-4,1-3,-1,-1
41,1,29,2,move1,mobilize,mobilize,0,move1,3-2,3-3,-1,-1
42,0,29,2,move1,move2,mobilize,1,move2,1-3,1-2,3-4,4-4
43,1,30,2,swap,move2,mobilize,0,swap,3-3,3-2,-1,-1
44,0,30,2,move1,move2,mobilize,0,move1,1-2,2-3,-1,-1
45,1,31,2,move1,mobilize,mobilize,1,mobilize,1-2,2-1,-1,-1
46,0,31,2,move1,mobilize,move1,2,move1,4-4,3-4,0-3,0-4
47,1,32,2,move1,mobilize,move1,0,move1,3-2,3-1,-1,-1
48,0,32,2,move1,mobilize,move1,1,mobilize,2-3,3-3,3-4,2-4
49,1,33,2,move2,mobilize,move1,0,move2,3-1,3-2,-1,-1
50,0,33,2,move2,move2,move1,1,move2,3-3,4-3,0-4,0-3
