turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,swap,move2,2,move2,1-0,2-1,-1,-1
2,0,0,0,mobilize,swap,move2,0,mobilize,2-4,2-3,3-4,4-4
3,1,1,0,move1,swap,move2,0,move1,2-1,2-2,3-0,3-1
4,0,1,0,move1,swap,move1,2,move1,2-3,2-4,-1,-1
5,1,2,0,swap,swap,move1,0,swap,3-1,2-1,-1,-1
6,0,2,0,swap,swap,mobilize,2,mobilize,2-4,2-3,-1,-1
7,1,3,0,move2,swap,mobilize,0,move2,2-0,2-3,-1,-1
8,0,3,0,move1,swap,mobilize,0,move1,2-0,1-1,-1,-1
9,1,4,0,move1,move2,mobilize,1,move2,2-3,1-1,-1,-1
10,0,4,0,move1,move2,mobilize,1,move2,4-4,3-4,-1,-1
11,1,5,0,move1,move2,mobilize,0,move1,1-1,1-2,-1,-1
12,0,5,0,move1,move2,move1,2,move1,1-4,2-4,3-4,4-4
13,1,6,0,mobilize,move2,move1,0,mobilize,1-2,1-1,-1,-1
14,0,6,0,mobilize,move2,move1,2,move1,2-3,1-3,-1,-1
15,1,7,0,mobilize,move2,move1,1,move2,1-1,2-0,-1,-1
16,0,7,0,mobilize,move2,mobilize,2,mobilize,2-4,2-3,-1,-1
17,1,8,0,mobilize,move2,mobilize,1,move2,2-0,1-1,-1,-1
18,0,8,0,mobilize,move2,move2,2,move2,2-3,3-3,1-3,1-4
19,1,9,0,mobilize,move1,move2,1,move1,1-1,1-2,-1,-1
20,0,9,0,move1,move1,move2,0,move1,3-3,3-4,1-4,0-4
21,1,10,0,move1,move1,move2,0,move1,1-2,1-1,-1,-1
22,0,10,0,move1,move1,capture,2,capture,0-4,1-3,-1,-1
23,1,11,0,capture,move1,capture,0,capture,1-1,1-2,-1,-1
24,0,11,3,mobilize,move1,capture,0,mobilize,1-3,1-2,-1,-1
25,1,12,3,mobilize,move1,capture,1,move1,1-0,1-1,-1,-1
26,0,12,3,mobilize,move1,capture,1,move1,3-4,2-4,-1,-1
27,1,16,3,mobilize,move1,move2,2,move2,2-2,2-4,2-1,-1
28,0,16,3,mobilize,mobilize,move2,1,mobilize,1-4,0-4,-1,-1
29,1,17,3,mobilize,mobilize,move1,2,move1,2-1,3-1,-1,-1
30,0,17,3,mobilize,mobilize,move1,1,mobilize,1-3,2-3,4-4,3-4
31,1,18,3,move2,mobilize,move1,0,move2,1-1,2-1,3-1,3-2
32,0,18,3,mobilize,mobilize,move1,0,mobilize,3-4,4-4,-1,-1
33,1,19,3,mobilize,mobilize,mobilize,2,mobilize,3-2,3-1,-1,-1
34,0,19,3,move1,mobilize,mobilize,0,move1,2-3,1-3,4-4,4-3
35,1,20,3,move1,mobilize,mobilize,0,move1,3-1,3-2,-1,-1
36,0,20,3,move1,mobilize,move2,2,move2,1-3,1-2,4-3,4-2
37,1,21,3,swap,mobilize,move2,0,swap,2-1,3-1,-1,-1
38,0,21,3,swap,mobilize,move2,2,move2,1-2,1-0,-1,-1
39,1,22,3,swap,mobilize,move1,2,move1,3-1,2-1,-1,-1
40,0,22,3,swap,capture,move1,1,capture,1-0,0-0,4-2,4-1
41,1,23,3,swap,capture,move2,2,move2,3-2,3-1,-1,-1
42,0,23,3,swap,capture,move2,2,move2,4-1,3-0,-1,-1
43,1,27,3,swap,move2,move2,1,move2,3-1,3-0,-1,-1
44,0,27,3,swap,move1,move2,1,move1,1-4,3-4,-1,-1
45,1,28,3,swap,swap,move2,1,swap,3-1,3-2,-1,-1
46,0,28,3,swap,swap,move1,2,move1,0-0,1-0,-1,-1
47,1,29,3,swap,swap,move1,2,move1,2-1,3-1,-1,-1
48,0,29,3,mobilize,swap,move1,0,mobilize,3-4,3-2,-1,-1
49,1,30,3,mobilize,move1,move1,1,move1,3-4,3-2,-1,-1
50,0,30,3,move1,move1,move1,0,move1,1-0,1-1,3-4,4-4
