turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,4,0,move1,mobilize,mobilize,2,mobilize,3-1,3-3,-1,-1
2,0,4,0,move1,move1,mobilize,1,move1,5-4,4-4,1-4,2-4
3,1,8,0,move1,move1,move1,2,move1,1-2,2-2,5-2,4-2
4,0,8,0,move1,move1,move1,0,move1,2-4,3-4,-1,-1
5,1,12,0,capture,move1,move1,0,capture,2-2,3-2,-1,-1
6,0,12,3,capture,move1,move1,0,capture,3-4,3-3,-1,-1
7,1,15,3,mobilize,move1,move1,0,mobilize,3-2,3-4,3-1,-1
8,0,15,3,mobilize,capture,move1,1,capture,3-5,4-5,-1,-1
9,1,19,3,mobilize,capture,swap,2,swap,3-2,3-3,-1,-1
10,0,19,7,mobilize,capture,move1,2,move1,5-4,3-3,-1,-1
11,1,22,7,mobilize,move1,move1,1,move1,5-4,4-4,-1,-1
12,0,22,11,capture,move1,move1,0,capture,4-5,4-4,3-5,3-4
13,1,25,11,move1,move1,move1,0,move1,5-4,4-4,-1,-1
14,0,25,15,move2,move1,move1,0,move2,3-5,4-5,-1,-1
15,1,25,15,capture,move1,move1,0,capture,3-1,3-2,-1,-1
16,0,25,22,move2,move1,move1,0,move2,3-3,3-2,-1,-1
17,1,25,22,swap,move1,move1,0,swap,3-1,3-2,-1,-1
18,0,25,26,swap,mobilize,move1,1,mobilize,4-5,3-5,-1,-1
19,1,29,26,mobilize,mobilize,move1,0,mobilize,5-4,3-3,-1,-1
20,0,29,26,move2,mobilize,move1,0,move2,3-5,4-5,3-4,4-4
21,1,33,26,move1,mobilize,move1,0,move1,4-2,3-1,-1,-1
22,0,33,26,move2,mobilize,move1,0,move2,4-4,4-3,-1,-1
23,1,37,26,move2,swap,move1,1,swap,3-2,4-2,3-1,4-1
24,0,37,30,move2,move2,move1,1,move2,4-5,3-3,-1,-1
25,1,37,30,swap,move2,move1,0,swap,4-2,3-2,-1,-1
26,0,37,34,swap,move2,move1,2,move1,5-4,4-4,-1,-1
27,1,41,34,move2,move2,move1,0,move2,4-1,3-3,-1,-1
28,0,41,34,move1,move2,move1,0,move1,4-1,4-2,-1,-1
29,1,45,34,move1,capture,move1,1,capture,4-5,3-4,-1,-1
30,0,45,37,move1,swap,move1,1,swap,4-2,3-2,-1,-1
31,1,49,37,move1,mobilize,move1,1,mobilize,3-1,4-3,-1,-1
32,0,49,37,swap,mobilize,move1,0,swap,3-1,4-1,-1,-1
33,1,53,37,move1,mobilize,move1,0,move1,3-4,4-2,-1,-1
34,0,53,37,move1,mobilize,move1,0,move1,4-1,3-1,-1,-1
35,1,57,37,move1,mobilize,move1,0,move1,4-2,3-2,-1,-1
36,0,57,37,mobilize,mobilize,move1,0,mobilize,3-4,2-4,-1,-1
37,1,61,37,mobilize,mobilize,move1,0,mobilize,4-3,4-2,3-2,2-2
38,0,61,37,swap,mobilize,move1,0,swap,3-1,3-2,4-4,3-4
39,1,65,37,capture,mobilize,move1,0,capture,4-2,3-2,-1,-1
40,0,65,40,move2,mobilize,move1,0,move2,4-2,3-2,-1,-1
41,1,69,40,move1,mobilize,move1,0,move1,2-2,3-2,-1,-1
42,0,69,40,move2,mobilize,move1,0,move2,3-4,4-4,-1,-1
43,1,73,40,move2,mobilize,move1,0,move2,3-1,2-2,-1,-1
44,0,73,40,move2,mobilize,capture,2,capture,4-2,4-3,-1,-1
45,1,80,40,move2,mobilize,move1,2,move1,3-3,4-3,-1,-1
46,0,80,40,capture,mobilize,move1,0,capture,4-4,3-4,-1,-1
47,1,87,40,move2,mobilize,move1,0,move2,3-3,3-4,-1,-1
48,0,87,40,mobilize,mobilize,move1,0,mobilize,5-4,3-4,-1,-1
49,1,91,40,mobilize,mobilize,capture,2,capture,2-2,2-3,-1,-1
50,0,91,43,mobilize,mobilize,move1,2,move1,3-4,3-3,-1,-1
