turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,3-0,4-1,-1,-1
2,0,0,0,capture,swap,capture,2,capture,1-4,2-3,-1,-1
3,1,0,0,capture,move1,capture,1,move1,2-0,2-3,-1,-1
4,0,0,3,move1,move1,capture,0,move1,2-0,1-0,-1,-1
5,1,1,3,swap,move1,capture,0,swap,2-3,2-2,-1,-1
6,0,1,6,swap,move1,capture,2,capture,2-0,1-0,-1,-1
7,1,1,6,move2,move1,capture,0,move2,2-2,2-0,-1,-1
8,0,1,7,move2,move1,capture,0,move2,3-4,2-3,-1,-1
9,1,1,7,mobilize,move1,capture,0,mobilize,4-1,4-2,-1,-1
10,0,1,11,mobilize,move1,mobilize,2,mobilize,2-2,2-0,2-3,-1
11,1,1,11,move1,move1,mobilize,0,move1,2-0,2-1,4-2,4-1
12,0,1,12,move1,move1,move1,2,move1,2-4,1-4,2-3,1-3
13,1,1,12,move1,move1,capture,2,capture,2-1,3-1,-1,-1
14,0,1,16,move1,move1,move1,2,move1,1-3,1-0,1-4,-1
15,1,1,16,move1,move1,move2,2,move2,3-1,2-1,-1,-1
16,0,1,17,move1,move1,capture,2,capture,1-4,2-3,-1,-1
17,1,1,17,move1,mobilize,capture,1,mobilize,1-0,1-1,-1,-1
18,0,1,21,move1,mobilize,mobilize,2,mobilize,2-2,2-1,-1,-1
19,1,1,21,move1,move1,mobilize,1,move1,1-1,1-2,4-1,3-1
20,0,1,22,move2,move1,mobilize,0,move2,2-3,3-3,-1,-1
21,1,1,22,move2,move1,move1,2,move1,1-2,0-2,3-1,3-2
22,0,1,23,swap,move1,move1,0,swap,3-3,2-3,-1,-1
23,1,1,23,swap,move1,move1,0,swap,3-2,2-3,-1,-1
24,0,1,24,swap,mobilize,move1,1,mobilize,1-3,1-2,-1,-1
25,1,1,24,move1,mobilize,move1,0,move1,0-2,1-2,-1,-1
26,0,1,25,move1,mobilize,move1,0,move1,3-2,3-3,-1,-1
27,1,1,25,move1,capture,move1,1,capture,1-0,0-0,2-3,1-3
28,0,1,29,move1,move2,move1,1,move2,2-2,1-2,-1,-1
29,1,1,29,move1,swap,move1,1,swap,1-3,2-4,-1,-1
30,0,1,30,swap,swap,move1,0,swap,3-3,2-3,-1,-1
31,1,1,30,move1,swap,move1,0,move1,0-0,0-2,-1,-1
32,0,1,31,move1,move1,move1,1,move1,0-0,0-2,-1,-1
33,1,1,31,move1,mobilize,move1,1,mobilize,1-0,2-0,-1,-1
34,0,1,32,mobilize,mobilize,move1,0,mobilize,0-2,1-2,-1,-1
35,1,1,32,mobilize,capture,move1,1,capture,2-0,3-0,2-4,3-4
36,0,1,33,mobilize,capture,capture,2,capture,2-3,1-3,-1,-1
37,1,1,33,move2,capture,capture,0,move2,0-0,0-1,3-4,2-4
38,0,1,34,mobilize,capture,capture,0,mobilize,1-3,2-3,-1,-1
39,1,1,34,move2,capture,capture,0,move2,3-0,2-0,2-4,1-4
40,0,1,38,move2,move1,capture,1,move1,2-2,2-0,2-3,-1
41,1,1,38,move2,move2,capture,1,move2,1-0,2-0,-1,-1
42,0,1,42,move2,move2,move1,2,move1,2-2,2-0,2-3,-1
43,1,1,42,move2,move2,move1,1,move2,1-4,0-3,-1,-1
44,0,1,43,move2,move2,capture,2,capture,1-2,1-3,-1,-1
45,1,1,43,move2,swap,capture,1,swap,1-0,0-0,-1,-1
46,0,1,47,move2,swap,move1,2,move1,1-3,0-3,-1,-1
47,1,1,47,swap,swap,move1,0,swap,1-0,2-1,-1,-1
48,0,1,48,capture,swap,move1,0,capture,1-3,2-1,-1,-1
49,1,4,48,mobilize,swap,move1,0,mobilize,1-3,2-3,-1,-1
50,0,4,49,mobilize,move1,move1,1,move1,1-4,1-3,-1,-1
51,1,4,49,move2,move1,move1,0,move2,0-0,1-0,0-1,0-2
52,0,4,50,mobilize,move1,move1,0,mobilize,2-1,1-2,-1,-1
53,1,4,50,move2,move1,move1,0,move2,1-0,2-0,1-4,2-4
54,0,4,51,move2,move2,move1,1,move2,1-3,2-3,-1,-1
55,1,4,51,move2,move1,move1,1,move1,0-2,1-1,-1,-1
56,0,4,52,swap,move1,move1,0,swap,1-2,1-3,-1,-1
57,1,4,52,swap,move2,move1,1,move2,2-0,3-0,-1,-1
58,0,4,52,capture,move2,move1,0,capture,2-2,2-4,-1,-1
59,1,5,52,capture,move2,mobilize,2,mobilize,3-0,3-1,-1,-1
60,0,5,55,mobilize,move2,mobilize,0,mobilize,2-3,2-2,-1,-1
61,1,5,55,mobilize,move2,move2,2,move2,3-1,4-1,1-1,1-2
62,0,5,56,move1,move2,move2,0,move1,2-4,1-4,2-3,2-2
63,1,5,56,move1,move2,mobilize,2,mobilize,1-2,1-1,-1,-1
64,0,5,57,move1,move2,move1,2,move1,1-4,2-4,1-3,2-3
65,1,5,57,move1,capture,move1,1,capture,4-1,3-1,-1,-1
66,0,5,58,swap,capture,move1,0,swap,2-3,3-3,-1,-1
67,1,5,58,swap,capture,capture,2,capture,1-1,1-2,-1,-1
68,0,5,62,swap,move1,capture,1,move1,2-2,1-2,-1,-1
69,1,6,62,capture,move1,capture,0,capture,2-0,2-2,-1,-1
70,0,6,65,capture,move1,capture,0,capture,2-0,1-0,-1,-1
71,1,7,65,capture,move2,capture,1,move2,3-1,2-1,-1,-1
72,0,7,68,mobilize,move2,capture,0,mobilize,2-0,2-1,-1,-1
73,1,7,68,move1,move2,capture,0,move1,2-2,2-3,1-0,1-1
74,0,7,71,move1,move2,move1,2,move1,2-0,3-0,-1,-1
75,1,7,71,swap,move2,move1,0,swap,1-0,0-0,-1,-1
