turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,mobilize,capture,mobilize,0,mobilize,3-0,3-1,-1,-1
2,0,0,0,mobilize,capture,move1,2,move1,2-6,2-5,3-6,3-5
3,1,0,0,swap,capture,move1,0,swap,2-0,2-1,4-0,4-1
4,0,0,0,swap,capture,move1,2,move1,3-5,4-5,-1,-1
5,1,0,0,swap,capture,move1,2,move1,2-1,2-2,-1,-1
6,0,0,0,swap,capture,mobilize,2,mobilize,4-6,3-6,-1,-1
7,1,0,0,swap,capture,mobilize,2,mobilize,3-1,3-2,4-1,4-2
8,0,0,0,capture,capture,mobilize,0,capture,4-5,4-2,-1,-1
9,1,3,0,capture,capture,capture,2,capture,3-2,3-3,4-5,3-5
10,0,3,3,capture,move2,capture,1,move2,3-6,3-5,-1,-1
11,1,7,3,capture,mobilize,capture,1,mobilize,2-2,1-3,-1,-1
12,0,7,3,capture,move2,capture,1,move2,4-2,4-1,3-6,4-6
13,1,11,3,capture,move2,capture,1,move2,2-0,2-2,-1,-1
14,0,11,3,capture,capture,capture,1,capture,2-5,3-6,-1,-1
15,1,11,3,capture,capture,capture,-1,None,-1,-1,-1,-1
16,0,11,3,swap,move1,move2,-1,None,-1,-1,-1,-1
17,1,15,3,swap,move2,move2,1,move2,2-2,3-2,-1,-1
18,0,15,3,swap,move2,capture,2,capture,4-6,4-4,-1,-1
19,1,22,3,swap,move2,move1,2,move1,3-3,3-6,3-2,-1
20,0,22,3,move2,move2,move1,0,move2,4-4,3-2,-1,-1
21,1,27,3,swap,move2,move1,0,swap,4-4,5-3,-1,-1
22,0,27,3,swap,move1,move1,1,move1,2-6,3-5,-1,-1
23,1,31,3,move1,move1,move1,0,move1,5-3,3-2,-1,-1
24,0,31,4,swap,move1,move1,0,swap,3-5,4-5,-1,-1
25,1,35,4,swap,move2,move1,1,move2,3-2,4-2,-1,-1
26,0,35,5,swap,mobilize,move1,1,mobilize,4-1,5-2,-1,-1
27,1,39,5,swap,mobilize,capture,2,capture,4-2,3-2,-1,-1
28,0,39,6,swap,swap,capture,1,swap,4-5,5-5,5-2,4-2
29,1,46,6,swap,swap,move1,2,move1,3-2,4-2,-1,-1
30,0,46,6,swap,mobilize,move1,1,mobilize,5-3,3-2,-1,-1
31,1,50,6,move1,mobilize,move1,0,move1,5-3,3-2,-1,-1
32,0,50,6,move1,move1,move1,1,move1,5-5,4-5,5-3,5-2
33,1,54,6,move1,move1,move1,0,move1,3-2,2-2,-1,-1
34,0,54,6,capture,move1,move1,0,capture,2-6,3-6,-1,-1
35,1,58,6,capture,mobilize,move1,1,mobilize,2-2,3-2,-1,-1
36,0,58,6,capture,mobilize,move1,1,mobilize,3-6,4-6,5-2,4-2
37,1,65,6,swap,mobilize,move1,0,swap,3-2,4-2,-1,-1
38,0,65,6,swap,mobilize,move1,1,mobilize,4-5,4-4,2-6,2-5
39,1,69,6,swap,mobilize,capture,2,capture,3-2,2-2,-1,-1
40,0,69,9,capture,mobilize,capture,0,capture,4-4,3-3,-1,-1
41,1,70,9,capture,move1,capture,1,move1,4-4,3-4,2-2,1-2
42,0,70,12,capture,move2,capture,1,move2,4-6,3-6,-1,-1
43,1,74,12,swap,move2,capture,0,swap,3-4,3-3,-1,-1
44,0,74,12,swap,move2,capture,1,move2,2-5,3-5,-1,-1
45,1,78,12,swap,move2,move1,2,move1,3-4,3-5,-1,-1
46,0,78,12,swap,move1,move1,1,move1,2-6,0-6,-1,-1
47,1,82,12,swap,capture,move1,1,capture,3-4,3-3,-1,-1
48,0,82,12,swap,capture,move2,2,move2,0-6,0-5,-1,-1
49,1,86,12,swap,capture,move2,2,move2,1-2,3-2,-1,-1
50,0,86,12,swap,capture,move2,2,move2,3-6,4-5,-1,-1
