turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,move1,capture,-1,None,-1,-1,-1,-1
1,1,0,0,capture,mobilize,capture,1,mobilize,2-0,2-1,-1,-1
2,0,0,0,capture,mobilize,capture,1,mobilize,1-4,1-3,3-4,3-3
3,1,0,0,capture,move1,capture,1,move1,1-0,1-1,3-0,2-0
4,0,0,0,capture,move1,capture,1,move1,2-4,1-4,-1,-1
5,1,0,0,capture,move2,capture,1,move2,2-0,1-0,-1,-1
6,0,0,3,capture,move2,capture,0,capture,1-3,1-1,1-4,-1
7,1,0,3,capture,mobilize,capture,1,mobilize,2-1,1-1,-1,-1
8,0,0,6,move2,mobilize,capture,0,move2,1-3,1-1,1-4,-1
9,1,0,6,move1,mobilize,capture,0,move1,1-0,2-1,-1,-1
10,0,0,6,swap,mobilize,capture,0,swap,3-3,2-3,-1,-1
11,1,3,6,swap,mobilize,mobilize,2,mobilize,2-1,2-3,2-0,-1
12,0,3,6,swap,mobilize,mobilize,0,swap,2-4,2-1,-1,-1
13,1,3,6,move2,mobilize,mobilize,0,move2,2-4,2-1,-1,-1
14,0,3,7,move1,mobilize,mobilize,0,move1,2-4,2-2,-1,-1
15,1,3,7,move2,mobilize,mobilize,0,move2,3-0,3-1,-1,-1
16,0,3,8,move2,capture,mobilize,1,capture,1-3,2-3,1-4,2-4
17,1,6,8,move2,move2,mobilize,1,move2,2-1,2-2,-1,-1
18,0,6,8,move2,move2,mobilize,0,move2,1-4,1-3,-1,-1
19,1,7,8,move1,move2,mobilize,0,move1,3-1,2-2,-1,-1
20,0,7,8,swap,move2,mobilize,0,swap,2-4,1-4,-1,-1
21,1,8,8,move1,move2,mobilize,0,move1,2-0,2-3,-1,-1
22,0,8,8,move1,mobilize,mobilize,1,mobilize,2-0,1-1,-1,-1
23,1,9,8,move1,swap,mobilize,1,swap,2-3,3-3,2-1,3-1
24,0,9,9,move1,move1,mobilize,1,move1,1-4,2-2,-1,-1
25,1,9,9,move1,move1,capture,2,capture,1-4,2-4,3-1,3-2
26,0,9,13,move1,move1,swap,2,swap,2-2,3-2,-1,-1
27,1,9,13,move1,move1,mobilize,2,mobilize,1-0,1-1,-1,-1
28,0,9,14,move1,move1,swap,2,swap,1-0,2-0,1-3,2-3
29,1,9,14,move1,move1,move2,2,move2,1-1,2-3,-1,-1
30,0,9,15,capture,move1,move2,0,capture,1-1,2-1,-1,-1
