turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,4,0,move1,mobilize,mobilize,2,mobilize,3-1,3-3,-1,-1
2,0,4,0,move1,move1,mobilize,1,move1,5-4,4-4,1-4,2-4
3,1,8,0,move1,move1,move1,2,move1,1-2,2-2,5-2,4-2
4,0,8,0,move1,move1,move1,0,move1,4-4,3-4,-1,-1
5,1,12,0,capture,move1,move1,0,capture,2-2,3-2,-1,-1
6,0,12,1,capture,move1,move1,0,capture,3-4,3-3,-1,-1
7,1,13,1,mobilize,move1,move1,0,mobilize,3-2,3-4,3-1,-1
8,0,13,1,capture,move1,move1,0,capture,5-4,4-4,2-4,3-4
9,1,14,1,swap,move1,move1,0,swap,3-2,3-4,3-1,-1
10,0,14,1,swap,move1,move1,1,move1,3-5,4-5,-1,-1
11,1,18,1,swap,move1,move1,1,move1,3-2,3-3,-1,-1
12,0,18,5,capture,move1,move1,0,capture,5-4,3-3,-1,-1
13,1,19,5,move1,move1,move1,0,move1,5-4,4-4,-1,-1
14,0,19,9,move2,move1,move1,0,move2,3-5,3-4,-1,-1
15,1,19,9,capture,move1,move1,0,capture,3-1,3-2,-1,-1
16,0,19,14,move2,move1,move1,0,move2,3-3,3-2,-1,-1
17,1,19,14,swap,move1,move1,0,swap,3-1,3-2,-1,-1
18,0,19,18,swap,mobilize,move1,1,mobilize,4-5,3-5,-1,-1
19,1,23,18,mobilize,mobilize,move1,0,mobilize,5-4,3-3,-1,-1
20,0,23,18,mobilize,move2,move1,1,move2,3-5,4-5,3-4,4-4
21,1,27,18,mobilize,move1,move1,1,move1,4-2,3-1,-1,-1
22,0,27,18,mobilize,move2,move1,1,move2,4-5,5-5,-1,-1
23,1,31,18,mobilize,swap,move1,1,swap,3-1,2-2,-1,-1
24,0,31,22,mobilize,move2,move1,1,move2,5-4,3-3,-1,-1
25,1,31,22,swap,move2,move1,0,swap,3-2,3-1,2-2,2-3
26,0,31,26,move1,move2,move1,0,move1,5-5,5-4,-1,-1
27,1,31,26,mobilize,move2,move1,0,mobilize,3-1,3-0,-1,-1
28,0,31,30,move1,move2,move1,0,move1,5-4,5-3,4-4,4-3
29,1,31,30,capture,move2,move1,0,capture,3-0,3-1,-1,-1
30,0,31,35,swap,move2,move1,0,swap,3-3,2-3,-1,-1
31,1,35,35,mobilize,move2,move1,0,mobilize,1-2,3-3,-1,-1
32,0,35,35,mobilize,move1,move1,1,move1,1-2,3-2,-1,-1
33,1,39,35,mobilize,mobilize,move1,1,mobilize,5-5,4-5,-1,-1
34,0,39,35,mobilize,mobilize,swap,2,swap,3-2,4-2,-1,-1
35,1,43,35,mobilize,mobilize,move1,2,move1,4-5,4-3,-1,-1
