turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,4-0,4-2,-1,-1
2,0,0,0,move1,move1,mobilize,1,move1,2-6,2-5,4-6,4-5
3,1,0,0,move1,move1,mobilize,0,move1,4-2,3-2,-1,-1
4,0,0,0,move1,move1,mobilize,0,move1,2-5,3-5,-1,-1
5,1,3,0,move1,move1,capture,2,capture,2-0,1-0,3-2,3-3
6,0,3,3,move1,move1,capture,2,capture,3-5,3-3,3-6,-1
7,1,3,3,move1,mobilize,capture,1,mobilize,2-0,2-1,-1,-1
8,0,3,3,capture,mobilize,capture,0,capture,3-6,4-6,-1,-1
9,1,3,3,capture,swap,capture,1,swap,1-0,1-1,3-0,3-1
10,0,3,3,capture,swap,capture,-1,None,-1,-1,-1,-1
11,1,3,3,move1,move1,capture,-1,None,-1,-1,-1,-1
12,0,3,3,move1,move1,capture,0,move1,4-6,3-6,-1,-1
13,1,3,3,move2,move1,capture,0,move2,1-1,1-0,-1,-1
14,0,3,6,capture,move1,capture,0,capture,3-5,3-3,-1,-1
15,1,3,6,capture,move2,capture,1,move2,1-0,0-0,-1,-1
16,0,3,9,capture,swap,capture,1,swap,3-6,3-4,-1,-1
17,1,6,9,capture,mobilize,capture,1,mobilize,2-1,3-3,-1,-1
18,0,6,12,mobilize,mobilize,capture,0,mobilize,2-1,3-1,-1,-1
19,1,12,12,mobilize,mobilize,move2,2,move2,2-0,2-1,-1,-1
20,0,12,12,move1,mobilize,move2,0,move1,2-6,3-6,4-5,3-5
21,1,15,12,move1,move2,move2,1,move2,0-0,0-1,2-0,2-1
22,0,15,12,move1,swap,move2,1,swap,3-6,2-5,-1,-1
23,1,18,12,move2,swap,move2,0,move2,2-1,3-1,-1,-1
24,0,18,15,move2,swap,move2,1,swap,2-5,3-3,-1,-1
25,1,21,15,move2,mobilize,move2,1,mobilize,2-5,3-3,-1,-1
26,0,21,15,swap,mobilize,move2,0,swap,2-5,3-6,-1,-1
27,1,24,15,move1,mobilize,move2,0,move1,3-1,3-4,-1,-1
28,0,24,15,capture,mobilize,move2,0,capture,3-1,2-1,-1,-1
29,1,27,15,capture,mobilize,move1,2,move1,0-1,1-0,-1,-1
30,0,27,18,move1,mobilize,move1,0,move1,3-5,3-4,-1,-1
31,1,30,18,capture,mobilize,move1,0,capture,1-0,0-0,-1,-1
32,0,30,21,move1,mobilize,move1,0,move1,2-1,2-0,-1,-1
33,1,33,21,swap,mobilize,move1,0,swap,2-0,3-0,-1,-1
34,0,33,24,mobilize,mobilize,move1,0,mobilize,3-6,3-3,-1,-1
35,1,33,24,mobilize,mobilize,move1,1,mobilize,0-0,0-1,3-6,4-6
36,0,33,27,move2,mobilize,move1,0,move2,2-1,3-1,3-5,3-4
37,1,33,27,capture,mobilize,move1,0,capture,3-0,2-1,-1,-1
38,0,33,33,move1,mobilize,move1,0,move1,3-1,2-1,-1,-1
39,1,33,33,move1,move2,move1,1,move2,2-0,1-0,4-6,3-6
40,0,33,36,move1,mobilize,move1,1,mobilize,3-1,3-2,-1,-1
41,1,33,36,move2,mobilize,move1,0,move2,3-6,3-5,-1,-1
42,0,33,39,move2,mobilize,move2,2,move2,3-2,3-1,-1,-1
43,1,33,39,move2,move1,move2,1,move1,0-1,1-1,3-5,2-5
44,0,33,42,swap,move1,move2,0,swap,3-1,3-2,-1,-1
45,1,36,42,move1,move1,move2,0,move1,2-5,3-3,-1,-1
46,0,36,42,mobilize,move1,move2,0,mobilize,2-5,3-5,-1,-1
47,1,39,42,mobilize,move1,capture,2,capture,1-0,2-1,-1,-1
48,0,39,45,mobilize,move1,swap,2,swap,3-2,3-3,-1,-1
49,1,39,45,move1,move1,swap,0,move1,2-1,3-1,2-0,3-0
50,0,39,48,capture,move1,swap,0,capture,3-2,3-3,-1,-1
