turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,mobilize,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,swap,capture,mobilize,0,swap,1-0,1-1,3-0,3-1
2,0,0,0,swap,capture,move1,2,move1,1-4,1-3,2-4,2-3
3,1,0,0,swap,capture,mobilize,2,mobilize,1-1,2-1,-1,-1
4,0,0,1,swap,capture,move2,2,move2,2-3,2-2,3-4,3-3
5,1,3,1,swap,capture,move2,1,capture,2-1,2-2,-1,-1
6,0,3,2,swap,capture,move2,2,move2,3-3,2-2,-1,-1
7,1,6,2,swap,capture,move2,1,capture,2-1,2-2,-1,-1
8,0,6,3,swap,capture,move1,2,move1,2-4,2-2,-1,-1
9,1,9,3,swap,move1,move1,1,move1,2-1,2-2,-1,-1
10,0,9,3,move2,move1,move1,0,move2,1-3,2-1,-1,-1
11,1,10,3,move1,move1,move1,0,move1,1-3,2-2,-1,-1
12,0,10,3,capture,move1,move1,0,capture,1-4,1-3,-1,-1
13,1,14,3,capture,move1,move1,0,capture,2-2,2-1,-1,-1
14,0,14,3,capture,move2,move1,1,move2,1-3,1-2,-1,-1
15,1,18,3,move2,move2,move1,0,move2,2-2,1-2,-1,-1
16,0,18,3,swap,move2,move1,0,swap,1-4,1-2,-1,-1
17,1,19,3,swap,move2,swap,2,swap,3-1,2-1,-1,-1
18,0,19,4,move1,move2,swap,0,move1,3-4,2-2,-1,-1
19,1,20,4,move1,move2,move1,2,move1,3-4,2-2,-1,-1
20,0,20,4,move1,move2,move1,0,move1,3-4,3-3,-1,-1
21,1,21,4,move1,move2,move1,1,move2,2-0,3-1,-1,-1
22,0,21,4,mobilize,move2,move1,0,mobilize,3-3,3-2,-1,-1
23,1,22,4,mobilize,move1,move1,1,move1,3-1,2-0,-1,-1
24,0,22,4,mobilize,move1,move1,0,mobilize,1-2,1-1,2-4,2-3
25,1,23,4,mobilize,swap,move1,1,swap,2-0,3-0,-1,-1
26,0,23,5,mobilize,move1,move1,1,move1,1-1,2-2,-1,-1
27,1,23,5,mobilize,swap,move1,1,swap,3-0,2-0,-1,-1
