turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,1,0,move1,mobilize,mobilize,2,mobilize,2-0,2-2,-1,-1
2,0,1,0,move1,move1,mobilize,1,move1,1-4,1-3,3-4,3-3
3,1,2,0,move1,move1,move1,2,move1,1-0,0-0,3-0,2-0
4,0,2,0,move1,move1,move1,0,move1,3-3,2-3,-1,-1
5,1,3,0,move1,move1,capture,2,capture,2-0,3-0,-1,-1
6,0,3,3,move1,move1,capture,2,capture,2-3,2-2,-1,-1
7,1,3,3,mobilize,move1,capture,0,mobilize,0-0,0-1,-1,-1
8,0,3,4,capture,move1,capture,0,capture,2-4,1-4,2-3,2-2
9,1,3,4,capture,swap,capture,1,swap,0-1,0-2,-1,-1
10,0,3,8,move1,swap,capture,0,move1,1-3,1-0,1-4,-1
11,1,4,8,move1,move1,capture,1,move1,1-0,2-2,-1,-1
12,0,4,8,capture,move1,capture,0,capture,1-0,1-1,-1,-1
13,1,5,8,capture,move1,capture,1,move1,3-0,3-1,-1,-1
14,0,5,8,capture,move2,capture,1,move2,1-1,1-2,-1,-1
15,1,9,8,capture,move2,capture,0,capture,0-2,1-2,-1,-1
16,0,9,8,capture,move2,capture,1,move2,2-4,2-3,-1,-1
17,1,13,8,capture,move2,swap,2,swap,2-2,2-3,-1,-1
