mode,agent,card
corrected_reduced_board_default_fixed_r2,expectimax_d3,mobilize
corrected_reduced_board_default_fixed_r2,expectimax_d2,mobilize
corrected_reduced_board_default_fixed_r2,expectimax_d3,capture
corrected_reduced_board_default_fixed_r2,expectimax_d2,capture
corrected_reduced_board_default_fixed_r2,expectimax_d3,move2
corrected_reduced_board_default_fixed_r2,expectimax_d2,mobilize
corrected_reduced_board_default_fixed_r2,expectimax_d3,move2
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,expectimax_d3,capture
corrected_reduced_board_default_fixed_r2,expectimax_d2,swap
corrected_reduced_board_default_fixed_r2,expectimax_d3,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,expectimax_d3,move2
corrected_reduced_board_default_fixed_r2,expectimax_d2,capture
corrected_reduced_board_default_fixed_r2,expectimax_d3,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,expectimax_d3,swap
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,expectimax_d3,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,swap
corrected_reduced_board_default_fixed_r2,expectimax_d3,swap
corrected_reduced_board_default_fixed_r2,expectimax_d2,mobilize
corrected_reduced_board_default_fixed_r2,expectimax_d3,capture
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,expectimax_d3,capture
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,expectimax_d3,swap
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,expectimax_d3,swap
corrected_reduced_board_default_fixed_r2,expectimax_d2,capture
corrected_reduced_board_default_fixed_r2,expectimax_d3,mobilize
corrected_reduced_board_default_fixed_r2,expectimax_d2,capture
corrected_reduced_board_default_fixed_r2,expectimax_d3,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,expectimax_d3,swap
corrected_reduced_board_default_fixed_r2,expectimax_d2,capture
corrected_reduced_board_default_fixed_r2,expectimax_d3,mobilize
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,expectimax_d3,mobilize
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,expectimax_d3,mobilize
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,expectimax_d3,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,expectimax_d3,move2
corrected_reduced_board_default_fixed_r2,expectimax_d2,mobilize
corrected_reduced_board_default_fixed_r2,greedy,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,greedy,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,capture
corrected_reduced_board_default_fixed_r2,greedy,capture
corrected_reduced_board_default_fixed_r2,expectimax_d2,mobilize
corrected_reduced_board_default_fixed_r2,greedy,capture
corrected_reduced_board_default_fixed_r2,expectimax_d2,swap
corrected_reduced_board_default_fixed_r2,greedy,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,greedy,capture
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,greedy,move2
corrected_reduced_board_default_fixed_r2,expectimax_d2,capture
corrected_reduced_board_default_fixed_r2,greedy,move2
corrected_reduced_board_default_fixed_r2,expectimax_d2,swap
corrected_reduced_board_default_fixed_r2,greedy,mobilize
corrected_reduced_board_default_fixed_r2,expectimax_d2,mobilize
corrected_reduced_board_default_fixed_r2,greedy,move2
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,greedy,move2
corrected_reduced_board_default_fixed_r2,expectimax_d2,swap
corrected_reduced_board_default_fixed_r2,greedy,move2
corrected_reduced_board_default_fixed_r2,expectimax_d2,swap
corrected_reduced_board_default_fixed_r2,greedy,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,greedy,mobilize
corrected_reduced_board_default_fixed_r2,expectimax_d2,capture
corrected_reduced_board_default_fixed_r2,greedy,swap
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,greedy,swap
corrected_reduced_board_default_fixed_r2,expectimax_d2,capture
corrected_reduced_board_default_fixed_r2,greedy,swap
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,greedy,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,greedy,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,capture
corrected_reduced_board_default_fixed_r2,greedy,move2
corrected_reduced_board_default_fixed_r2,expectimax_d2,capture
corrected_reduced_board_default_fixed_r2,greedy,move2
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,greedy,capture
corrected_reduced_board_default_fixed_r2,expectimax_d2,swap
corrected_reduced_board_default_fixed_r2,greedy,mobilize
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,greedy,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,mobilize
corrected_reduced_board_default_fixed_r2,greedy,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,greedy,capture
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,greedy,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,swap
corrected_reduced_board_default_fixed_r2,greedy,capture
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,greedy,move2
corrected_reduced_board_default_fixed_r2,expectimax_d2,mobilize
corrected_reduced_board_default_fixed_r2,greedy,mobilize
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,greedy,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,capture
corrected_reduced_board_default_fixed_r2,greedy,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,greedy,capture
corrected_reduced_board_default_fixed_r2,expectimax_d2,mobilize
corrected_reduced_board_default_fixed_r2,greedy,mobilize
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,greedy,move2
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,greedy,swap
corrected_reduced_board_default_fixed_r2,expectimax_d2,swap
corrected_reduced_board_default_fixed_r2,greedy,mobilize
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,greedy,capture
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,greedy,move2
corrected_reduced_board_default_fixed_r2,expectimax_d2,swap
corrected_reduced_board_default_fixed_r2,greedy,capture
corrected_reduced_board_default_fixed_r2,expectimax_d2,mobilize
corrected_reduced_board_default_fixed_r2,greedy,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,greedy,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,swap
corrected_reduced_board_default_fixed_r2,greedy,swap
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,greedy,move1
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,greedy,swap
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
corrected_reduced_board_default_fixed_r2,greedy,capture
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,greedy,capture
corrected_reduced_board_default_fixed_r2,expectimax_d2,capture
corrected_reduced_board_default_fixed_r2,greedy,mobilize
corrected_reduced_board_default_fixed_r2,expectimax_d2,move1
corrected_reduced_board_default_fixed_r2,greedy,mobilize
corrected_reduced_board_default_fixed_r2,expectimax_d2,move2
