turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,1-2,2-2,5-2,4-2
2,0,0,0,move1,capture,move1,2,move1,5-4,5-3,1-4,1-5
3,1,0,0,swap,capture,move1,0,swap,2-2,3-2,-1,-1
4,0,0,0,move1,capture,move1,0,move1,3-5,3-2,-1,-1
5,1,3,0,move1,move1,move1,1,move1,3-1,3-2,-1,-1
6,0,3,0,move1,move1,mobilize,2,mobilize,5-3,4-3,-1,-1
7,1,3,0,move1,move1,mobilize,2,mobilize,3-5,3-4,4-2,3-2
8,0,3,4,move1,move1,capture,2,capture,5-4,4-4,4-3,3-3
9,1,6,4,move1,move1,capture,2,capture,3-4,3-3,-1,-1
10,0,6,7,move1,move1,move2,2,move2,3-5,3-4,-1,-1
11,1,10,7,mobilize,move1,move2,0,mobilize,3-2,3-3,-1,-1
12,0,10,7,move2,move1,move2,0,move2,4-4,4-5,1-5,2-5
13,1,14,7,move2,move1,move2,0,move2,1-2,3-2,-1,-1
14,0,14,7,move2,capture,move2,1,capture,4-5,4-4,-1,-1
15,1,21,7,move2,swap,move2,1,swap,3-3,3-5,3-2,-1
16,0,21,11,move2,move1,move2,1,move1,2-5,3-3,-1,-1
17,1,21,11,move2,move1,move2,0,move2,2-5,2-3,-1,-1
18,0,21,15,move2,move1,move2,2,move2,4-4,6-4,-1,-1
19,1,21,15,capture,move1,move2,0,capture,2-3,2-2,-1,-1
20,0,21,22,move1,move1,move2,0,move1,3-3,3-2,-1,-1
21,1,21,22,move2,move1,move2,0,move2,3-1,3-2,-1,-1
22,0,21,26,move2,move1,swap,2,swap,6-4,4-4,-1,-1
23,1,25,26,move2,move1,move1,2,move1,1-2,3-3,-1,-1
24,0,25,26,move2,move1,move1,1,move1,1-2,1-3,-1,-1
25,1,29,26,swap,move1,move1,0,swap,2-2,2-3,-1,-1
26,0,29,30,swap,move1,move1,0,swap,3-5,3-3,-1,-1
27,1,33,30,mobilize,move1,move1,0,mobilize,3-5,3-3,-1,-1
28,0,33,30,mobilize,move1,capture,2,capture,4-4,5-4,-1,-1
29,1,40,30,mobilize,move1,move1,2,move1,3-3,3-5,3-2,-1
