turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,swap,capture,-1,None,-1,-1,-1,-1
1,1,0,0,swap,swap,capture,0,swap,2-0,2-1,-1,-1
2,0,0,0,move1,swap,capture,0,move1,2-4,2-1,-1,-1
3,1,3,0,move1,swap,move1,2,move1,2-4,1-4,-1,-1
4,0,3,0,move1,move2,move1,1,move2,1-4,2-4,-1,-1
5,1,3,0,move1,move2,move1,1,move2,1-0,1-2,-1,-1
6,0,3,0,move1,move2,move1,1,move2,2-1,2-3,-1,-1
7,1,4,0,mobilize,move2,move1,0,mobilize,1-2,2-2,-1,-1
8,0,4,0,mobilize,move2,swap,2,swap,2-3,3-3,-1,-1
9,1,5,0,mobilize,move2,capture,2,capture,3-0,3-3,-1,-1
10,0,5,3,mobilize,move2,move2,2,move2,3-4,3-3,-1,-1
11,1,6,3,move1,move2,move2,0,move1,1-4,1-3,1-0,1-1
12,0,6,3,move1,mobilize,move2,1,mobilize,3-0,3-2,-1,-1
13,1,7,3,move1,move2,move2,1,move2,1-3,2-3,1-1,2-1
14,0,7,3,capture,move2,move2,0,capture,3-2,3-3,-1,-1
15,1,11,3,move1,move2,move2,0,move1,2-3,3-3,-1,-1
16,0,11,3,move1,move1,move2,1,move1,1-4,1-3,-1,-1
17,1,12,3,move1,move1,swap,2,swap,2-3,3-2,-1,-1
18,0,12,4,move1,move1,capture,2,capture,3-4,2-2,-1,-1
19,1,15,4,move1,move1,mobilize,2,mobilize,3-4,2-4,-1,-1
20,0,15,5,move1,move1,capture,2,capture,1-4,2-4,1-3,2-3
21,1,18,5,move1,move1,move2,2,move2,3-4,2-4,-1,-1
22,0,18,6,move1,move1,move1,2,move1,1-4,1-2,-1,-1
23,1,18,6,mobilize,move1,move1,0,mobilize,3-4,3-3,-1,-1
24,0,18,7,mobilize,mobilize,move1,1,mobilize,1-2,1-3,-1,-1
25,1,18,7,move1,mobilize,move1,0,move1,3-3,3-4,3-2,3-1
26,0,18,8,capture,mobilize,move1,0,capture,1-3,1-2,-1,-1
27,1,21,8,move2,mobilize,move1,0,move2,2-1,2-2,-1,-1
28,0,21,9,move2,move2,move1,1,move2,1-2,2-2,1-4,2-4
29,1,21,9,swap,move2,move1,0,swap,3-4,3-3,-1,-1
30,0,21,10,swap,move2,move1,0,swap,2-4,2-1,-1,-1
31,1,22,10,mobilize,move2,move1,0,mobilize,3-1,2-2,-1,-1
32,0,22,10,mobilize,move2,mobilize,2,mobilize,3-1,3-2,-1,-1
33,1,23,10,mobilize,swap,mobilize,1,swap,2-4,1-3,-1,-1
34,0,23,11,mobilize,mobilize,mobilize,1,mobilize,2-1,2-2,-1,-1
35,1,23,11,move1,mobilize,mobilize,0,move1,3-3,3-4,1-3,1-2
36,0,23,12,move1,mobilize,mobilize,0,move1,2-3,3-3,-1,-1
37,1,23,12,move1,mobilize,mobilize,0,move1,3-4,2-4,-1,-1
38,0,23,13,move2,mobilize,mobilize,0,move2,3-3,2-3,-1,-1
39,1,23,13,capture,mobilize,mobilize,0,capture,2-4,1-4,-1,-1
40,0,23,17,move1,mobilize,mobilize,0,move1,2-2,2-1,-1,-1
41,1,23,17,move1,mobilize,mobilize,0,move1,1-4,1-3,-1,-1
42,0,23,18,capture,mobilize,mobilize,0,capture,2-3,3-3,-1,-1
43,1,26,18,swap,mobilize,mobilize,0,swap,1-2,2-2,-1,-1
44,0,26,19,swap,capture,mobilize,1,capture,3-2,2-2,1-4,2-4
45,1,29,19,swap,move2,mobilize,1,move2,1-2,2-2,-1,-1
46,0,29,19,capture,move2,mobilize,0,capture,3-3,1-3,-1,-1
47,1,32,19,move2,move2,mobilize,0,move2,1-2,1-3,-1,-1
48,0,32,19,move1,move2,mobilize,0,move1,1-4,2-3,-1,-1
49,1,33,19,move1,move1,mobilize,1,move1,3-3,2-2,-1,-1
50,0,33,19,mobilize,move1,mobilize,0,mobilize,3-4,3-3,-1,-1
51,1,34,19,mobilize,move2,mobilize,1,move2,1-0,1-1,-1,-1
52,0,34,19,mobilize,mobilize,mobilize,1,mobilize,2-4,3-4,-1,-1
53,1,35,19,move1,mobilize,mobilize,0,move1,1-1,2-1,1-2,0-2
