turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,2-0,2-1,3-0,3-1
2,0,0,0,move1,capture,mobilize,0,move1,2-4,2-3,-1,-1
3,1,1,0,move1,capture,swap,2,swap,1-0,2-0,2-1,2-2
4,0,1,3,move1,move1,swap,1,move1,2-3,2-2,-1,-1
5,1,1,3,move1,move1,swap,1,move1,1-0,1-1,-1,-1
6,0,1,4,mobilize,move1,swap,0,mobilize,2-3,2-2,-1,-1
7,1,2,4,mobilize,move1,mobilize,2,mobilize,1-1,2-2,-1,-1
8,0,2,4,capture,move1,mobilize,0,capture,1-4,1-3,1-1,1-2
9,1,6,4,capture,move1,mobilize,0,capture,2-2,1-2,-1,-1
10,0,6,4,capture,move2,mobilize,1,move2,1-3,1-2,-1,-1
11,1,7,4,capture,mobilize,mobilize,1,mobilize,3-1,3-2,-1,-1
12,0,7,7,move2,mobilize,mobilize,0,move2,1-2,2-2,-1,-1
13,1,8,7,move2,move2,mobilize,1,move2,2-0,2-1,3-2,2-2
14,0,8,7,capture,move2,mobilize,0,capture,1-2,2-3,-1,-1
15,1,12,7,swap,move2,mobilize,0,swap,2-2,2-3,-1,-1
16,0,12,8,move1,move2,mobilize,0,move1,1-4,2-2,-1,-1
17,1,12,8,move1,move2,mobilize,1,move2,1-4,1-3,-1,-1
18,0,12,9,move1,move2,move2,2,move2,2-4,2-3,3-4,3-3
19,1,12,9,capture,move2,move2,0,capture,1-3,1-2,-1,-1
20,0,12,13,move1,move2,move2,0,move1,2-2,2-1,-1,-1
21,1,12,13,move1,move2,move2,1,move2,2-0,3-0,-1,-1
22,0,12,14,swap,move2,move2,0,swap,3-3,3-2,-1,-1
23,1,13,14,move1,move2,move2,0,move1,1-2,2-2,-1,-1
24,0,13,14,move1,move2,move2,0,move1,2-3,2-4,-1,-1
25,1,14,14,move1,move2,swap,2,swap,3-0,3-1,-1,-1
26,0,14,15,move1,move2,swap,2,swap,2-4,2-2,-1,-1
27,1,15,15,move1,move2,move1,2,move1,1-0,2-2,-1,-1
28,0,15,15,move1,move2,move1,0,move1,1-0,1-1,-1,-1
29,1,16,15,move1,move2,move2,2,move2,2-4,2-3,-1,-1
30,0,16,15,move1,move2,move2,0,move1,1-1,1-0,-1,-1
