turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,swap,capture,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,capture,0,capture,2-0,2-1,-1,-1
2,0,0,0,capture,move1,capture,1,move1,2-4,2-1,-1,-1
3,1,3,0,swap,move1,capture,0,swap,2-4,1-4,-1,-1
4,0,3,0,swap,move1,capture,1,move1,3-4,3-3,-1,-1
5,1,6,0,swap,move1,move2,2,move2,2-4,1-4,-1,-1
6,0,6,1,swap,move1,mobilize,2,mobilize,2-1,2-2,-1,-1
7,1,7,1,capture,move1,mobilize,0,capture,1-0,2-2,-1,-1
8,0,7,1,capture,move1,swap,2,swap,1-0,2-0,3-3,3-4
9,1,11,1,swap,move1,swap,0,swap,2-4,1-4,-1,-1
10,0,11,2,mobilize,move1,swap,0,mobilize,1-4,2-2,-1,-1
11,1,12,2,mobilize,move1,capture,2,capture,3-0,2-2,-1,-1
12,0,12,2,mobilize,move2,capture,1,move2,2-0,2-1,-1,-1
13,1,16,2,mobilize,move2,mobilize,2,mobilize,2-2,2-1,-1,-1
14,0,16,2,mobilize,move2,swap,2,swap,3-0,3-1,3-4,3-3
15,1,17,2,mobilize,move2,swap,2,swap,1-4,1-3,-1,-1
16,0,17,2,move2,move2,swap,0,move2,3-1,4-1,3-3,3-2
17,1,18,2,move2,move2,swap,0,move2,1-3,2-3,-1,-1
18,0,18,2,move2,move2,swap,0,move2,4-1,3-0,-1,-1
19,1,19,2,move2,move2,swap,2,swap,2-4,3-2,-1,-1
20,0,19,2,move1,move2,swap,0,move1,2-4,3-4,-1,-1
21,1,20,2,mobilize,move2,swap,0,mobilize,2-3,3-3,-1,-1
22,0,20,2,swap,move2,swap,0,swap,3-0,4-0,1-4,0-4
23,1,21,2,swap,move1,swap,1,move1,3-3,2-3,-1,-1
24,0,21,2,swap,move1,swap,1,move1,3-4,4-4,-1,-1
25,1,22,2,swap,swap,swap,1,swap,2-3,3-3,-1,-1
26,0,22,2,swap,swap,move2,2,move2,4-4,3-3,-1,-1
27,1,23,2,swap,swap,move2,0,swap,4-4,3-3,-1,-1
28,0,23,2,swap,swap,swap,2,swap,4-0,3-0,-1,-1
29,1,24,2,move1,swap,swap,0,move1,3-3,3-0,-1,-1
30,0,24,2,capture,swap,swap,0,capture,4-4,3-4,-1,-1
31,1,28,2,swap,swap,swap,0,swap,3-2,3-3,-1,-1
32,0,28,3,swap,swap,move1,2,move1,3-4,2-2,-1,-1
33,1,29,3,move1,swap,move1,0,move1,3-0,2-2,-1,-1
34,0,29,3,swap,swap,move1,0,swap,3-0,3-1,-1,-1
35,1,30,3,swap,swap,swap,2,swap,3-4,3-3,-1,-1
36,0,30,3,swap,move1,swap,1,move1,3-1,3-3,-1,-1
37,1,31,3,capture,move1,swap,0,capture,3-1,3-3,-1,-1
38,0,31,3,capture,move1,swap,1,move1,0-4,0-3,-1,-1
39,1,35,3,capture,move1,swap,0,capture,3-2,3-1,-1,-1
40,0,35,3,capture,mobilize,swap,1,mobilize,1-4,1-3,-1,-1
41,1,36,3,capture,mobilize,move2,2,move2,3-2,1-3,-1,-1
42,0,36,3,capture,move1,move2,1,move1,0-3,0-2,2-4,2-3
43,1,40,3,swap,move1,move2,0,swap,2-2,2-3,-1,-1
44,0,40,3,swap,move1,mobilize,2,mobilize,0-2,0-4,-1,-1
45,1,41,3,swap,move1,mobilize,2,mobilize,1-3,1-2,3-3,2-3
46,0,41,3,swap,move2,mobilize,1,move2,3-2,3-1,-1,-1
47,1,42,3,swap,move2,mobilize,1,move2,2-3,1-3,-1,-1
48,0,42,3,move2,move2,mobilize,0,move2,1-4,1-2,-1,-1
49,1,43,3,mobilize,move2,mobilize,0,mobilize,1-4,2-3,-1,-1
50,0,43,3,mobilize,move2,capture,2,capture,0-4,1-4,1-2,0-2
51,1,47,3,mobilize,move2,swap,2,swap,1-3,1-4,-1,-1
52,0,47,3,mobilize,move2,swap,2,swap,1-4,1-3,-1,-1
53,1,48,3,mobilize,move2,swap,2,swap,1-4,1-3,-1,-1
54,0,48,3,move2,move2,swap,0,move2,1-4,2-4,0-2,0-3
55,1,49,3,move1,move2,swap,0,move1,1-3,1-2,-1,-1
56,0,49,3,move1,swap,swap,1,swap,3-1,3-2,-1,-1
57,1,50,3,move1,swap,swap,0,move1,1-2,1-3,-1,-1
58,0,50,3,move1,swap,capture,2,capture,0-3,1-3,-1,-1
59,1,54,3,move1,swap,swap,2,swap,2-3,1-3,-1,-1
60,0,54,3,swap,swap,swap,0,swap,3-2,4-2,-1,-1
61,1,55,3,mobilize,swap,swap,0,mobilize,0-3,2-4,-1,-1
62,0,55,3,swap,swap,swap,0,swap,4-2,3-2,0-3,1-3
63,1,56,3,mobilize,swap,swap,0,mobilize,2-4,1-3,-1,-1
64,0,56,4,mobilize,swap,move2,2,move2,2-4,2-2,-1,-1
65,1,57,4,mobilize,swap,move2,1,swap,2-4,2-2,-1,-1
66,0,57,4,mobilize,swap,move1,2,move1,3-2,3-0,-1,-1
67,1,58,4,mobilize,swap,move2,2,move2,1-3,1-2,-1,-1
68,0,58,4,mobilize,move1,move2,1,move1,2-4,1-2,-1,-1
69,1,59,4,mobilize,move1,mobilize,2,mobilize,2-4,3-3,-1,-1
70,0,59,4,move1,move1,mobilize,0,move1,3-0,4-0,1-2,0-2
71,1,60,4,capture,move1,mobilize,0,capture,3-3,3-2,-1,-1
72,0,60,4,capture,move2,mobilize,1,move2,0-2,1-2,-1,-1
73,1,64,4,capture,move2,mobilize,0,capture,2-2,1-2,-1,-1
74,0,64,7,capture,move2,mobilize,0,capture,2-4,2-3,-1,-1
75,1,65,7,capture,swap,mobilize,1,swap,1-0,2-1,-1,-1
76,0,65,7,capture,swap,mobilize,1,swap,4-0,2-1,-1,-1
77,1,69,7,move1,swap,mobilize,0,move1,2-2,2-1,-1,-1
78,0,69,7,move1,move1,mobilize,1,move1,3-4,3-2,-1,-1
79,1,70,7,move2,move1,mobilize,0,move2,3-4,3-3,-1,-1
80,0,70,7,swap,move1,mobilize,0,swap,1-4,0-3,-1,-1
81,1,71,7,capture,move1,mobilize,0,capture,4-0,3-2,-1,-1
82,0,71,7,capture,swap,mobilize,1,swap,0-3,0-2,-1,-1
83,1,75,7,swap,swap,mobilize,0,swap,2-2,0-2,3-2,-1
84,0,75,7,capture,swap,mobilize,0,capture,1-4,3-3,-1,-1
85,1,79,7,move1,swap,mobilize,0,move1,1-4,2-4,-1,-1
86,0,79,7,move1,mobilize,mobilize,1,mobilize,2-4,3-2,-1,-1
87,1,80,7,move1,swap,mobilize,1,swap,2-4,2-3,1-4,1-3
88,0,80,7,move1,capture,mobilize,1,capture,3-3,2-3,-1,-1
89,1,84,7,move1,move1,mobilize,1,move1,2-2,2-3,-1,-1
90,0,84,7,move1,move2,mobilize,1,move2,4-0,4-1,-1,-1
91,1,85,7,move1,move2,swap,2,swap,3-3,2-3,1-3,1-2
92,0,85,7,move1,move1,swap,1,move1,4-1,4-3,-1,-1
93,1,86,7,move2,move1,swap,0,move2,2-3,1-3,-1,-1
94,0,86,7,mobilize,move1,swap,0,mobilize,3-2,4-1,-1,-1
95,1,87,7,mobilize,move2,swap,1,move2,1-3,2-3,-1,-1
96,0,87,8,mobilize,move2,capture,2,capture,4-1,2-2,-1,-1
97,1,90,8,mobilize,move2,mobilize,2,mobilize,2-3,2-2,-1,-1
98,0,90,8,mobilize,swap,mobilize,1,swap,4-3,4-4,-1,-1
99,1,91,8,swap,swap,mobilize,0,swap,4-1,3-1,1-2,2-2
100,0,91,8,swap,swap,move1,2,move1,4-4,4-3,1-4,0-4
