turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,4,0,move1,mobilize,mobilize,2,mobilize,3-1,3-3,-1,-1
2,0,4,0,move1,move1,mobilize,1,move1,5-4,4-4,1-4,2-4
3,1,8,0,move1,move1,move1,2,move1,1-2,2-2,5-2,4-2
4,0,8,0,move1,move1,move1,0,move1,2-4,3-4,-1,-1
5,1,12,0,capture,move1,move1,0,capture,2-2,3-2,-1,-1
6,0,12,3,capture,move1,move1,0,capture,3-4,3-3,-1,-1
7,1,15,3,mobilize,move1,move1,0,mobilize,3-2,3-4,3-1,-1
8,0,15,3,mobilize,capture,move1,1,capture,3-5,4-5,-1,-1
9,1,19,3,mobilize,capture,swap,2,swap,3-2,3-3,-1,-1
10,0,19,7,mobilize,capture,move1,2,move1,5-4,3-3,-1,-1
11,1,22,7,mobilize,move1,move1,1,move1,5-4,4-4,-1,-1
12,0,22,11,capture,move1,move1,0,capture,4-5,4-4,3-5,3-4
13,1,25,11,move1,move1,move1,0,move1,5-4,4-4,-1,-1
14,0,25,15,move2,move1,move1,0,move2,3-5,4-5,-1,-1
15,1,25,15,capture,move1,move1,0,capture,5-4,4-3,-1,-1
16,0,25,22,move2,move1,move1,0,move2,3-3,4-3,-1,-1
17,1,25,22,swap,move1,move1,0,swap,1-2,3-2,-1,-1
18,0,25,26,mobilize,move1,move1,0,mobilize,4-5,4-2,-1,-1
19,1,25,26,mobilize,mobilize,move1,1,mobilize,4-5,4-4,-1,-1
20,0,25,30,mobilize,mobilize,move2,2,move2,3-4,2-4,-1,-1
21,1,25,30,move1,mobilize,move2,0,move1,3-1,4-1,4-4,4-3
22,0,25,34,move1,mobilize,move2,2,move2,2-4,2-3,-1,-1
23,1,25,34,move1,mobilize,swap,2,swap,4-3,5-2,-1,-1
24,0,25,38,move2,mobilize,swap,0,move2,4-2,4-3,-1,-1
25,1,29,38,move2,mobilize,swap,2,swap,4-1,3-3,-1,-1
26,0,29,42,move2,mobilize,move1,2,move1,4-1,3-3,-1,-1
