turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,1-0,2-1,-1,-1
2,0,0,0,capture,capture,move2,1,capture,2-4,2-1,-1,-1
3,1,3,0,move1,capture,move2,0,move1,2-4,1-4,-1,-1
4,0,3,3,move1,move1,move2,1,move1,2-1,2-0,-1,-1
5,1,4,3,move1,move1,swap,2,swap,2-4,2-2,-1,-1
6,0,4,3,capture,move1,swap,0,capture,1-4,2-4,-1,-1
7,1,8,3,move2,move1,swap,0,move2,2-2,2-1,-1,-1
8,0,8,3,move2,move1,swap,0,move2,1-4,2-3,-1,-1
9,1,9,3,mobilize,move1,swap,0,mobilize,1-0,2-1,-1,-1
10,0,9,4,mobilize,move1,mobilize,2,mobilize,3-4,2-2,-1,-1
11,1,9,4,move1,move1,mobilize,0,move1,3-4,3-3,2-1,3-1
12,0,9,5,move1,move1,mobilize,0,move1,2-3,1-3,-1,-1
13,1,9,5,capture,move1,mobilize,0,capture,3-3,3-2,-1,-1
14,0,9,9,move1,move1,mobilize,0,move1,2-2,3-2,-1,-1
15,1,9,9,move1,move1,move2,2,move2,1-0,2-0,3-1,2-1
16,0,9,10,capture,move1,move2,0,capture,1-3,2-3,-1,-1
17,1,12,10,mobilize,move1,move2,0,mobilize,2-1,2-2,-1,-1
18,0,12,10,mobilize,mobilize,move2,1,mobilize,1-4,1-3,-1,-1
19,1,12,10,mobilize,mobilize,move1,2,move1,3-0,3-1,-1,-1
20,0,12,10,mobilize,mobilize,move2,2,move2,2-4,1-4,-1,-1
21,1,13,10,mobilize,mobilize,move1,2,move1,3-1,2-2,-1,-1
22,0,13,10,mobilize,mobilize,swap,2,swap,1-4,2-4,-1,-1
23,1,14,10,mobilize,mobilize,swap,2,swap,2-0,2-3,-1,-1
24,0,14,10,mobilize,mobilize,mobilize,2,mobilize,2-0,2-3,-1,-1
25,1,15,10,move1,mobilize,mobilize,0,move1,2-0,1-0,2-1,1-1
26,0,15,10,move2,mobilize,mobilize,0,move2,2-4,1-4,-1,-1
27,1,16,10,move2,swap,mobilize,1,swap,1-0,2-0,1-1,2-1
28,0,16,11,move2,swap,mobilize,1,swap,1-4,2-2,-1,-1
29,1,17,11,move2,swap,mobilize,1,swap,1-4,2-2,-1,-1
30,0,17,12,move2,capture,mobilize,1,capture,1-4,2-2,-1,-1
31,1,20,12,move2,mobilize,mobilize,1,mobilize,2-1,2-2,-1,-1
32,0,20,13,move1,mobilize,mobilize,0,move1,1-3,2-2,-1,-1
33,1,20,13,move1,mobilize,mobilize,0,move1,1-4,1-3,-1,-1
34,0,20,14,mobilize,mobilize,mobilize,0,mobilize,2-4,3-4,-1,-1
35,1,20,14,move1,mobilize,mobilize,0,move1,2-0,1-0,2-1,1-1
36,0,20,15,capture,mobilize,mobilize,0,capture,3-4,3-3,-1,-1
37,1,23,15,move2,mobilize,mobilize,0,move2,1-3,2-3,-1,-1
38,0,23,16,move2,mobilize,mobilize,0,move2,1-4,2-3,-1,-1
39,1,23,16,move1,mobilize,mobilize,0,move1,1-3,1-2,-1,-1
40,0,23,17,swap,mobilize,mobilize,0,swap,3-3,3-2,-1,-1
41,1,24,17,move2,mobilize,mobilize,0,move2,1-0,2-2,-1,-1
42,0,24,17,move2,capture,mobilize,1,capture,3-2,3-3,1-0,2-0
43,1,28,17,move2,move1,mobilize,1,move1,2-2,2-3,-1,-1
44,0,28,17,capture,move1,mobilize,0,capture,3-3,1-3,-1,-1
45,1,32,17,capture,move1,mobilize,0,capture,1-2,1-3,-1,-1
