turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,capture,swap,move2,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,move2,2,move2,2-0,3-1,-1,-1
2,0,0,0,capture,swap,capture,2,capture,2-6,3-5,-1,-1
3,1,0,0,capture,swap,capture,-1,None,-1,-1,-1,-1
4,0,0,0,move1,move1,swap,-1,None,-1,-1,-1,-1
5,1,0,0,move1,capture,swap,1,capture,3-1,4-1,-1,-1
6,0,0,0,move2,capture,swap,0,move2,4-6,4-5,-1,-1
7,1,0,0,move2,capture,swap,0,move2,4-1,6-1,-1,-1
8,0,0,3,mobilize,capture,swap,0,mobilize,3-5,3-3,-1,-1
9,1,3,3,mobilize,capture,mobilize,2,mobilize,3-0,3-3,-1,-1
10,0,3,6,mobilize,move1,mobilize,1,move1,3-0,4-0,-1,-1
11,1,6,6,move1,move1,mobilize,0,move1,6-1,5-1,2-0,1-0
12,0,6,6,move1,move1,capture,2,capture,3-0,3-1,4-5,3-5
13,1,9,6,move1,move1,capture,0,move1,1-0,1-1,-1,-1
14,0,9,9,move1,move1,move2,2,move2,3-5,3-3,3-6,-1
15,1,10,9,move1,move1,capture,2,capture,1-1,1-3,-1,-1
16,0,10,9,mobilize,move1,capture,0,mobilize,3-1,3-2,-1,-1
17,1,11,9,mobilize,move1,capture,0,mobilize,5-1,5-2,2-0,2-1
18,0,11,12,move1,move1,capture,0,move1,3-2,3-3,3-5,3-4
19,1,12,12,move1,move2,capture,1,move2,2-1,2-2,-1,-1
20,0,12,15,move1,move2,capture,0,move1,3-6,3-5,-1,-1
21,1,14,15,move1,swap,capture,1,swap,5-2,5-3,-1,-1
22,0,14,18,swap,swap,capture,0,swap,3-5,2-5,-1,-1
23,1,19,18,mobilize,swap,capture,0,mobilize,2-2,3-3,-1,-1
24,0,19,21,mobilize,swap,move1,2,move1,3-4,3-3,-1,-1
25,1,20,21,mobilize,swap,capture,2,capture,1-3,1-4,-1,-1
26,0,20,24,swap,swap,capture,0,swap,2-5,2-4,3-4,3-3
27,1,24,24,move2,swap,capture,0,move2,1-4,3-3,-1,-1
28,0,24,27,move2,move1,capture,1,move1,1-4,3-3,-1,-1
29,1,26,27,move2,capture,capture,1,capture,1-4,1-3,-1,-1
30,0,26,30,capture,capture,capture,0,capture,2-2,3-2,-1,-1
31,1,26,30,capture,capture,capture,-1,None,-1,-1,-1,-1
32,0,26,30,move1,mobilize,capture,-1,None,-1,-1,-1,-1
33,1,28,30,move1,mobilize,capture,0,move1,2-0,2-1,-1,-1
34,0,28,33,swap,mobilize,capture,0,swap,2-4,3-4,-1,-1
35,1,33,33,move2,mobilize,capture,0,move2,2-1,3-3,-1,-1
36,0,33,36,move2,mobilize,mobilize,2,mobilize,3-2,3-3,-1,-1
37,1,35,36,move2,mobilize,mobilize,0,move2,2-0,3-0,-1,-1
38,0,35,39,move2,swap,mobilize,1,swap,3-4,3-3,2-1,2-2
39,1,39,39,move2,move2,mobilize,1,move2,1-3,3-3,-1,-1
40,0,39,40,move1,move2,mobilize,0,move1,2-2,3-1,-1,-1
