turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,3-1,3-0,1-2,2-2
2,0,0,0,move1,capture,move1,2,move1,5-4,4-4,1-4,2-4
3,1,0,0,swap,capture,move1,0,swap,5-2,4-2,-1,-1
4,0,0,0,swap,capture,move1,2,move1,3-5,3-4,-1,-1
5,1,0,0,move1,capture,move1,0,move1,2-2,2-4,-1,-1
6,0,0,4,mobilize,capture,move1,0,mobilize,3-4,3-3,-1,-1
7,1,0,4,mobilize,capture,mobilize,2,mobilize,2-4,3-4,-1,-1
8,0,0,11,mobilize,capture,mobilize,1,capture,3-3,3-4,-1,-1
9,1,0,11,mobilize,capture,capture,2,capture,3-0,2-0,3-1,3-2
10,0,0,18,mobilize,move2,capture,1,move2,3-3,3-2,-1,-1
11,1,0,18,mobilize,move2,capture,0,mobilize,3-1,2-1,4-2,4-3
12,0,0,25,mobilize,move2,move2,2,move2,2-2,2-1,-1,-1
13,1,0,25,move2,move2,move2,0,move2,3-1,3-2,4-3,5-3
14,0,0,29,capture,move2,move2,0,capture,4-4,3-4,-1,-1
15,1,0,29,capture,swap,move2,1,swap,2-0,1-1,-1,-1
16,0,0,36,move1,swap,move2,0,move1,3-3,3-2,-1,-1
17,1,0,36,move2,swap,move2,0,move2,3-1,3-0,-1,-1
18,0,0,40,move2,swap,move2,0,move2,2-2,3-2,-1,-1
19,1,0,40,capture,swap,move2,0,capture,1-1,1-2,-1,-1
20,0,0,47,move1,swap,move2,0,move1,3-2,3-0,3-3,-1
21,1,0,47,move1,swap,move2,2,move2,1-2,2-1,-1,-1
22,0,0,51,move1,swap,move2,1,swap,3-4,3-1,-1,-1
23,1,0,51,move1,swap,move1,2,move1,3-4,5-4,-1,-1
24,0,0,55,move1,move1,move1,1,move1,3-1,2-1,-1,-1
25,1,0,55,move1,swap,move1,1,swap,3-1,4-1,-1,-1
26,0,0,59,move2,swap,move1,0,move2,2-1,2-2,-1,-1
27,1,0,59,mobilize,swap,move1,0,mobilize,4-1,5-1,-1,-1
28,0,0,63,mobilize,swap,capture,2,capture,2-2,2-3,-1,-1
29,1,0,63,move2,swap,capture,0,move2,5-1,5-0,5-3,6-3
30,0,0,70,move2,swap,swap,2,swap,3-3,6-3,2-3,-1
31,1,0,70,move2,swap,move1,2,move1,3-1,2-3,-1,-1
32,0,0,74,move2,move1,move1,1,move1,3-1,2-3,-1,-1
33,1,0,74,move2,move1,move1,1,move1,3-1,3-0,-1,-1
34,0,0,78,move1,move1,move1,0,move1,2-3,3-4,-1,-1
35,1,0,78,move1,move2,move1,1,move2,5-0,4-0,-1,-1
36,0,0,82,move1,capture,move1,1,capture,3-4,2-3,-1,-1
37,1,0,82,move1,capture,mobilize,2,mobilize,4-0,4-1,-1,-1
38,0,0,89,move1,swap,mobilize,1,swap,3-2,3-0,3-3,-1
39,1,4,89,move1,move1,mobilize,1,move1,5-4,3-3,-1,-1
40,0,4,89,move1,move1,capture,2,capture,5-4,5-3,2-3,2-2
41,1,4,89,capture,move1,capture,0,capture,3-3,3-4,-1,-1
42,0,4,93,capture,mobilize,capture,1,mobilize,3-2,3-3,-1,-1
43,1,4,93,capture,move2,capture,1,move2,4-1,5-1,3-4,2-4
44,0,4,97,capture,capture,capture,1,capture,2-2,3-2,-1,-1
45,1,7,97,swap,capture,capture,0,swap,3-1,3-2,-1,-1
46,0,7,101,move2,capture,capture,0,move2,3-5,2-4,-1,-1
47,1,7,101,move1,capture,capture,0,move1,5-1,5-0,-1,-1
48,0,7,105,move1,capture,capture,0,move1,2-4,3-4,-1,-1
49,1,10,105,move1,move2,capture,1,move2,3-5,3-4,-1,-1
50,0,10,112,move1,move2,mobilize,2,mobilize,5-3,5-0,5-4,-1
