turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,swap,move1,move2,-1,None,-1,-1,-1,-1
1,1,0,0,swap,move1,move1,2,move1,1-0,2-1,-1,-1
2,0,0,0,swap,move1,move1,1,move1,2-4,2-3,-1,-1
3,1,0,0,swap,swap,move1,1,swap,3-0,3-1,-1,-1
4,0,0,0,swap,swap,swap,2,swap,3-4,2-4,-1,-1
5,1,0,0,move1,swap,swap,0,move1,3-1,2-3,-1,-1
6,0,0,0,move1,swap,capture,2,capture,2-4,2-3,-1,-1
7,1,3,0,move1,swap,capture,2,capture,2-4,2-3,-1,-1
8,0,3,0,move2,swap,capture,0,move2,3-1,3-0,-1,-1
9,1,6,0,move2,swap,mobilize,2,mobilize,2-4,1-4,-1,-1
10,0,6,0,mobilize,swap,mobilize,0,mobilize,3-0,3-2,-1,-1
11,1,7,0,mobilize,swap,mobilize,0,mobilize,2-1,2-2,2-4,2-3
12,0,7,0,mobilize,swap,mobilize,2,mobilize,3-2,3-3,3-4,2-4
13,1,8,0,move1,swap,mobilize,0,move1,2-0,2-1,2-3,1-3
14,0,8,1,move1,move2,mobilize,1,move2,1-4,2-2,-1,-1
15,1,8,1,move1,capture,mobilize,1,capture,2-1,1-2,-1,-1
16,0,8,1,move1,capture,capture,2,capture,2-2,2-3,3-3,3-4
17,1,11,1,move1,move2,capture,1,move2,1-4,2-4,-1,-1
18,0,11,1,move1,move1,capture,1,move1,3-4,4-3,-1,-1
19,1,14,1,move1,move1,mobilize,2,mobilize,1-4,2-4,-1,-1
20,0,14,2,move1,move1,capture,2,capture,2-3,2-2,2-4,3-4
21,1,17,2,move1,move1,move2,2,move2,1-2,2-2,-1,-1
22,0,17,2,move1,move1,move1,2,move1,2-4,3-3,-1,-1
23,1,18,2,move1,move1,move1,0,move1,1-2,2-2,-1,-1
24,0,18,2,move1,move1,swap,2,swap,3-4,4-4,-1,-1
25,1,19,2,move1,move1,move2,2,move2,1-4,3-3,-1,-1
26,0,19,2,move1,move1,capture,2,capture,4-4,3-4,-1,-1
27,1,23,2,move1,move1,move1,2,move1,1-3,1-4,-1,-1
28,0,23,2,move1,move2,move1,1,move2,3-4,2-4,-1,-1
29,1,24,2,move2,move2,move1,0,move2,1-3,2-3,-1,-1
30,0,24,2,move2,move2,move1,1,move2,4-3,3-2,-1,-1
31,1,25,2,move2,move2,swap,2,swap,3-3,4-3,-1,-1
32,0,25,2,move2,swap,swap,1,swap,3-2,4-1,-1,-1
33,1,26,2,move2,mobilize,swap,1,mobilize,4-3,2-4,-1,-1
34,0,26,2,move2,mobilize,swap,1,mobilize,1-4,0-4,4-3,4-2
35,1,27,2,move2,mobilize,swap,0,move2,2-4,1-3,-1,-1
36,0,27,2,move1,mobilize,swap,0,move1,4-1,2-1,-1,-1
37,1,28,2,move1,mobilize,swap,0,move1,1-3,1-2,-1,-1
38,0,28,2,move1,move2,swap,1,move2,2-1,1-1,4-2,3-2
39,1,29,2,move1,move2,swap,0,move1,2-3,1-3,-1,-1
40,0,29,2,mobilize,move2,swap,0,mobilize,0-4,0-3,-1,-1
