turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,4,0,move1,mobilize,mobilize,2,mobilize,3-1,3-3,-1,-1
2,0,4,0,move1,move1,mobilize,1,move1,5-4,4-4,1-4,2-4
3,1,8,0,move1,move1,move1,2,move1,1-2,2-2,5-2,4-2
4,0,8,0,move1,move1,move1,0,move1,2-4,3-4,-1,-1
5,1,12,0,capture,move1,move1,0,capture,2-2,3-2,-1,-1
6,0,12,3,capture,move1,move1,0,capture,3-4,3-3,-1,-1
7,1,15,3,mobilize,move1,move1,0,mobilize,3-2,3-4,3-1,-1
8,0,15,3,mobilize,capture,move1,1,capture,3-5,4-5,-1,-1
9,1,19,3,mobilize,capture,swap,2,swap,3-2,3-3,-1,-1
10,0,19,7,mobilize,capture,move1,2,move1,5-4,3-3,-1,-1
11,1,22,7,mobilize,move1,move1,1,move1,5-4,4-4,-1,-1
12,0,22,11,capture,move1,move1,0,capture,4-5,4-4,3-5,3-4
13,1,25,11,move1,move1,move1,0,move1,5-4,4-4,-1,-1
14,0,25,15,move2,move1,move1,0,move2,3-5,4-5,-1,-1
15,1,25,15,capture,move1,move1,0,capture,5-4,4-3,-1,-1
16,0,25,22,move2,move1,move1,0,move2,3-3,4-3,-1,-1
17,1,25,22,swap,move1,move1,0,swap,1-2,3-2,-1,-1
18,0,25,26,mobilize,move1,move1,0,mobilize,4-5,4-2,-1,-1
19,1,25,26,mobilize,mobilize,move1,1,mobilize,4-5,4-4,-1,-1
20,0,25,30,mobilize,mobilize,move2,2,move2,3-4,2-4,-1,-1
21,1,25,30,move1,mobilize,move2,0,move1,3-1,4-1,4-4,4-3
22,0,25,34,move1,mobilize,move2,2,move2,2-4,2-3,-1,-1
23,1,25,34,move1,mobilize,swap,2,swap,4-1,3-1,-1,-1
24,0,25,38,move1,mobilize,move2,2,move2,4-2,3-2,-1,-1
25,1,25,38,move1,mobilize,swap,2,swap,3-1,4-1,-1,-1
26,0,25,42,move1,mobilize,move1,2,move1,2-3,4-3,-1,-1
27,1,25,42,move2,mobilize,move1,0,move2,2-3,2-2,-1,-1
28,0,25,46,move1,mobilize,move1,0,move1,4-3,3-4,-1,-1
29,1,25,46,capture,mobilize,move1,0,capture,2-2,2-1,-1,-1
30,0,25,53,swap,mobilize,move1,0,swap,3-2,4-2,-1,-1
31,1,29,53,mobilize,mobilize,move1,0,mobilize,4-1,3-3,-1,-1
32,0,29,53,mobilize,mobilize,swap,2,swap,4-1,4-2,-1,-1
33,1,33,53,mobilize,mobilize,move1,2,move1,2-1,3-2,-1,-1
34,0,33,53,swap,mobilize,move1,0,swap,2-1,2-2,3-4,4-4
35,1,37,53,move2,mobilize,move1,0,move2,3-1,4-2,-1,-1
36,0,37,53,mobilize,mobilize,move1,0,mobilize,4-4,2-4,-1,-1
37,1,41,53,mobilize,mobilize,move2,2,move2,4-2,4-3,-1,-1
38,0,41,53,move1,mobilize,move2,0,move1,2-4,2-3,3-1,2-1
39,1,45,53,move1,mobilize,capture,2,capture,3-2,4-2,-1,-1
40,0,45,56,move1,mobilize,move2,2,move2,2-3,3-3,-1,-1
41,1,49,56,move1,mobilize,move1,2,move1,3-1,3-3,-1,-1
42,0,49,56,move2,mobilize,move1,0,move2,2-3,2-4,-1,-1
43,1,53,56,move2,mobilize,move1,0,move2,4-2,5-3,-1,-1
44,0,53,56,capture,mobilize,move1,0,capture,2-1,3-2,-1,-1
45,1,60,56,swap,mobilize,move1,0,swap,3-3,3-2,-1,-1
46,0,60,60,capture,mobilize,move1,0,capture,3-5,3-3,-1,-1
47,1,63,60,mobilize,mobilize,move1,0,mobilize,4-3,3-3,-1,-1
48,0,63,60,move1,mobilize,move1,0,move1,2-2,3-2,2-4,3-4
49,1,67,60,capture,mobilize,move1,0,capture,4-3,3-3,-1,-1
50,0,67,63,move1,mobilize,move1,0,move1,3-4,3-5,-1,-1
