turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,mobilize,-1,None,-1,-1,-1,-1
1,1,0,0,move1,capture,mobilize,2,mobilize,3-1,2-1,1-2,1-3
2,0,0,3,move1,move1,mobilize,1,move1,1-4,1-3,-1,-1
3,1,0,3,move1,move1,swap,2,swap,2-1,2-2,5-2,6-2
4,0,0,3,move1,move1,swap,0,move1,3-5,3-4,-1,-1
5,1,0,3,move1,move1,move1,2,move1,3-1,3-4,-1,-1
6,0,0,3,mobilize,move1,move1,0,mobilize,1-4,1-3,-1,-1
7,1,4,3,mobilize,move1,move1,0,mobilize,3-4,3-3,6-2,6-1
8,0,4,3,capture,move1,move1,0,capture,3-1,3-2,1-3,2-3
9,1,11,3,capture,move1,move1,0,capture,2-2,3-2,-1,-1
10,0,11,6,move2,move1,move1,0,move2,2-3,3-3,-1,-1
11,1,15,6,mobilize,move1,move1,0,mobilize,2-2,3-3,-1,-1
12,0,15,6,move2,move1,move1,0,move2,3-5,3-4,5-4,4-4
13,1,19,6,move2,move1,move1,0,move2,6-1,5-2,-1,-1
14,0,19,6,move2,capture,move1,1,capture,2-3,2-4,-1,-1
15,1,26,6,move2,swap,move1,1,swap,3-3,3-4,-1,-1
16,0,26,10,move2,move1,move1,1,move1,3-5,3-3,-1,-1
17,1,26,10,move2,move1,move1,0,move2,5-2,6-3,-1,-1
18,0,26,14,move2,move1,move1,0,move2,4-4,3-4,-1,-1
19,1,26,14,capture,move1,move1,0,capture,3-5,4-4,-1,-1
20,0,26,21,move1,move1,move1,0,move1,3-4,4-4,-1,-1
21,1,26,21,move1,move2,move1,1,move2,6-3,6-4,-1,-1
22,0,26,25,move1,swap,move1,1,swap,2-4,3-5,-1,-1
23,1,30,25,move1,move1,move1,1,move1,1-2,3-3,-1,-1
24,0,30,25,move1,move1,move1,0,move1,1-2,1-3,-1,-1
25,1,34,25,swap,move1,move1,0,swap,6-4,6-3,-1,-1
26,0,34,29,swap,move1,move1,0,swap,1-3,3-3,-1,-1
27,1,38,29,capture,move1,move1,0,capture,6-3,3-3,-1,-1
28,0,38,32,capture,move1,move1,0,capture,3-4,3-3,-1,-1
29,1,38,32,capture,move1,move1,2,move1,3-1,3-2,-1,-1
30,0,38,36,capture,swap,move1,1,swap,3-4,3-3,-1,-1
31,1,42,36,capture,mobilize,move1,1,mobilize,1-2,3-3,-1,-1
